Frame number,5302
First frame,1
Point frequency,120
Analog frequency,120

Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,171.788,-128.012,1103.67,171.594,-79.1471,944.252,137.292,-76.601,437.593,141.449,-163.296,30.2703,111.985,-209.401,-9.1272,169.46,-49.7898,-24.0148,117.678,38.3484,-22.0425
0.00833333,171.358,-126.094,1104.75,170.911,-77.2836,944.32,137.215,-76.1192,437.616,141.431,-163.297,30.3926,111.926,-209.428,-9.13244,169.452,-49.7813,-23.937,117.619,38.315,-21.9231
0.0166667,170.776,-124.186,1105.62,170.395,-75.3389,944.324,136.979,-75.6894,437.456,141.389,-163.264,30.3931,111.87,-209.359,-9.07516,169.406,-49.7757,-23.9995,117.612,38.3961,-22.0599
0.025,170.245,-122.213,1106.42,170.014,-73.7149,944.403,136.819,-75.2505,437.379,141.401,-163.258,30.4039,112.074,-209.275,-8.9457,169.419,-49.68,-23.9864,117.449,38.4962,-21.8822
0.0333333,169.642,-120.316,1107.11,169.467,-72.569,944.564,136.786,-74.803,437.457,141.404,-163.212,30.4748,111.876,-209.345,-9.022,169.395,-49.7291,-24.0206,117.607,38.4493,-22.0953
0.0416667,169.237,-118.306,1107.64,169.129,-71.1908,944.662,136.678,-74.23,437.248,141.372,-163.197,30.4255,111.844,-209.353,-8.98528,169.462,-49.7097,-24.0139,117.604,38.3547,-22.0545
0.05,168.386,-116.627,1108.12,168.779,-70.1607,944.792,136.668,-73.7901,437.326,141.369,-163.189,30.5243,111.833,-209.288,-8.95882,169.507,-49.7158,-24.0071,117.566,38.4873,-22.0587
0.0583333,167.643,-115.06,1108.35,168.633,-68.9484,944.831,136.477,-73.3721,437.22,141.346,-163.242,30.5247,111.816,-209.381,-8.99333,169.552,-49.669,-23.9862,117.571,38.5443,-21.9238
0.0666667,167.207,-113.231,1108.72,168.404,-67.9573,944.76,136.327,-72.9931,437.084,141.275,-163.26,30.6056,111.757,-209.283,-8.91024,169.578,-49.7307,-24.0849,117.599,38.499,-22.056
0.075,166.732,-111.619,1108.92,168.201,-67.1527,944.851,136.483,-72.458,437.103,141.19,-163.294,30.7016,111.687,-209.331,-8.88914,169.622,-49.7164,-24.0306,117.617,38.5317,-21.9559
0.0833333,166.188,-110.294,1109.1,168.114,-66.193,944.887,136.308,-72.0167,436.926,141.143,-163.388,30.7351,111.596,-209.239,-8.85463,169.735,-49.7136,-24.128,117.617,38.4949,-22.0764
0.0916667,165.681,-108.996,1109.25,167.989,-65.3754,944.843,136.12,-71.6222,436.834,141.036,-163.431,30.7751,111.541,-209.255,-8.87537,169.664,-49.6936,-24.0535,117.701,38.5612,-21.9672
0.1,165.219,-107.802,1109.44,167.731,-64.716,944.631,136.161,-71.0308,436.951,140.973,-163.474,30.8772,111.528,-209.256,-8.85206,169.727,-49.7926,-24.0922,117.506,38.4185,-22.1445
0.108333,164.715,-106.722,1109.65,167.595,-63.8773,944.39,135.912,-70.4219,436.739,140.881,-163.502,30.9199,111.351,-209.169,-8.92055,169.797,-49.789,-24.0882,117.722,38.5783,-22.1148
0.116667,164.267,-105.611,1109.82,167.4,-63.1143,944.143,135.896,-69.6549,436.731,140.76,-163.475,31.0353,111.299,-209.161,-8.72219,169.784,-49.7478,-24.1148,118.017,38.7404,-22.195
0.125,163.636,-104.563,1110.15,167.22,-62.1125,943.872,135.549,-68.9864,436.532,140.649,-163.437,31.0839,111.234,-209.132,-8.73232,169.804,-49.7323,-24.0737,117.752,38.6639,-21.9896
0.133333,163.433,-103.652,1110.22,166.847,-61.109,943.623,135.407,-68.1216,436.475,140.568,-163.402,31.1742,111.146,-209.113,-8.62586,169.768,-49.739,-24.1045,117.729,38.5894,-22.1044
0.141667,163.061,-102.69,1110.52,166.219,-60.3167,943.494,135.158,-67.4384,436.475,140.43,-163.381,31.2757,111.045,-209.117,-8.61412,169.822,-49.7429,-24.08,117.725,38.6882,-22.0227
0.15,162.685,-101.762,1110.8,165.738,-59.3086,943.461,134.959,-66.6022,436.294,140.23,-163.362,31.3315,110.919,-209.035,-8.52978,169.864,-49.7576,-24.1137,117.74,38.6863,-22.0975
0.158333,162.21,-100.813,1111.13,165.202,-58.2427,943.491,134.555,-65.8596,436.139,140.128,-163.327,31.4247,110.814,-209.016,-8.47155,169.82,-49.7331,-24.0434,117.759,38.8629,-22.0059
0.166667,161.736,-99.9063,1111.48,164.405,-57.4537,943.665,134.485,-64.9952,436.149,140.008,-163.269,31.5497,110.872,-208.813,-8.27616,169.854,-49.7212,-24.1023,117.649,38.937,-22.0923
