Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
0,97.3461,-78.339,1081.15,110.435,-88.7192,908.938,104.667,17.6445,446.481,124.211,-132.733,46.5538,90.9905,-175.08,-2.78622,167.089,-15.2592,-20.2453,113.13,73.3982,-22.3852,0
0.00833,94.5666,-74.3205,1080.7,110.039,-89.4572,915.717,104.247,20.2125,446.034,124.034,-132.139,45.8776,90.3663,-174.871,-0.522852,161.952,-21.8623,-20.1162,113.338,72.4257,-22.2996,0.00833
0.01666,93.0663,-74.0659,1082.05,107.749,-87.8509,924,105.5,20.1917,445.265,124.221,-132.852,45.5858,90.0599,-175.157,-0.176966,162.214,-23.8915,-21.18,114.215,70.6702,-22.2685,0.01666
0.025,94.9115,-75.5625,1085.22,106.512,-84.1412,931.186,106.247,18.9928,441.435,124.151,-132.062,44.3326,90.1458,-174.977,-0.0973344,163.219,-23.807,-22.1355,114.441,70.5547,-22.3612,0.025
0.03333,98.1805,-77.5752,1089.22,107.178,-80.4795,934.688,105.437,18.2565,436.912,124.505,-131.35,43.183,90.493,-175.002,-0.301301,163.678,-23.1485,-22.5234,114.34,70.9135,-22.4876,0.03333
0.04166,101.368,-79.7669,1093.98,108.69,-76.8319,936.733,104.943,16.4219,433.116,124.405,-130.508,41.9219,90.714,-175.138,-0.846684,164.053,-22.8382,-22.6668,114.441,70.9842,-22.4081,0.04166
0.05,103.978,-81.5931,1098.85,110.234,-72.8293,938.055,105.964,13.8001,430.299,124.49,-130.1,40.5378,90.6281,-175.264,-1.44434,164.633,-22.9236,-22.9944,114.685,70.8547,-22.5628,0.05
0.05833,105.479,-82.6656,1103.1,111.441,-69.7868,938.746,107.44,10.9216,428.597,124.523,-131.184,39.8837,90.4622,-175.436,-2.09606,165.019,-22.7794,-23.0402,114.854,70.7864,-22.6205,0.05833
0.06666,107.045,-82.564,1106.28,112.619,-66.8167,939.201,108.588,7.60156,428.261,124.739,-132.26,40.022,90.5216,-175.598,-2.69341,165.308,-23.0283,-23.1507,115.106,70.6046,-22.6381,0.06666
0.075,108.784,-81.439,1108.32,113.276,-63.6933,939.545,109.764,4.38583,428.988,125.134,-133.308,39.9179,90.7763,-175.809,-3.31569,165.714,-23.2069,-23.2699,115.357,70.426,-22.5315,0.075
0.08333,109.499,-79.1467,1109.14,113.925,-60.6376,939.181,110.965,0.281513,429.915,125.791,-134.175,39.6311,91.1359,-176.01,-3.80111,166.23,-23.3005,-23.4191,115.515,70.2705,-22.6488,0.08333
0.09166,109.459,-75.5521,1109.35,113.798,-57.3438,938.565,111.806,-4.47941,430.53,126.091,-134.704,39.376,91.2754,-176.26,-4.32736,166.507,-23.3825,-23.5277,115.664,70.1431,-22.5438,0.09166
0.1,109.403,-71.248,1109.66,113.506,-53.8142,937.977,112.055,-8.78727,431.183,125.967,-135.162,38.8566,91.0858,-176.256,-4.79126,166.688,-23.4886,-23.584,115.84,69.9356,-22.622,0.1
0.10833,108.946,-67.1309,1110.52,113.512,-49.9277,937.424,111.917,-11.6157,431.736,125.6,-135.383,38.57,90.8039,-176.338,-5.01239,166.45,-23.6631,-23.5484,115.882,69.8823,-22.5875,0.10833
0.11666,108.408,-63.4639,1111.6,113.613,-46.0533,937.641,111.534,-12.5644,432.423,125.361,-135.348,38.555,90.618,-176.331,-5.10091,166.459,-23.7071,-23.5397,116.018,69.8541,-22.733,0.11666
0.125,108.15,-59.9406,1112.94,113.809,-42.9699,938.85,110.709,-12.7396,433.333,125.472,-135.614,38.6704,90.4731,-176.339,-5.15848,166.423,-23.7283,-23.5481,116.084,69.8797,-22.7231,0.125
0.13333,108.124,-56.9713,1114.29,114.191,-40.5881,940.45,110.258,-12.693,434.57,125.319,-135.799,39.0056,90.4749,-176.343,-5.23531,166.402,-23.76,-23.5262,116.087,69.8189,-22.6662,0.13333
0.14166,108.53,-54.449,1115.3,113.924,-38.6277,941.565,109.578,-13.4177,435.501,125.494,-136.095,38.9885,90.6216,-176.356,-5.50634,166.29,-23.7775,-23.5333,116.013,69.9178,-22.5347,0.14166
0.15,109.279,-52.1513,1115.61,113.759,-36.5866,942.091,108.807,-14.6826,436.062,125.795,-136.549,39.0257,90.7826,-176.514,-5.63484,166.311,-23.7323,-23.5595,115.949,69.8126,-22.6218,0.15
0.15833,109.921,-50.5564,1115.2,113.751,-34.6547,942.124,108.231,-15.6412,436.266,125.971,-136.784,38.9326,90.9245,-176.638,-5.90914,166.3,-23.725,-23.5072,115.872,69.8165,-22.5064,0.15833
