Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0,-6.896972,-0.003856,550.284346,-38.84674,1.0789,-0.34112,-0.001961,-0.070594
0.001,-6.720253,0.076277,550.78606,-38.878566,1.016141,-1.337039,-0.001845,-0.070587
0.002,-6.811525,0.176286,550.977418,-38.856329,0.89979,-0.118425,-0.001633,-0.070523
0.003,-6.98877,0.173246,551.316177,-38.853646,0.798327,-0.473715,-0.001448,-0.070474
0.004,-6.810812,0.433156,551.816867,-38.96011,0.736371,-1.35463,-0.001334,-0.070603
0.005,-7.079432,0.621905,552.179669,-38.908994,0.634768,-0.090402,-0.00115,-0.070464
0.006,-7.168428,0.617441,552.173955,-38.906043,0.537009,-0.57772,-0.000973,-0.07046
0.007,-7.079136,0.78935,552.333342,-38.943241,0.470779,-1.338645,-0.000852,-0.070507
0.008,-7.170445,1.067516,552.696069,-38.896878,0.377958,-0.062471,-0.000684,-0.070377
0.009,-7.170478,1.149558,552.862462,-38.864929,0.353242,-0.635924,-0.000639,-0.070298
0.01,-7.081642,1.499539,553.195542,-38.943766,0.264356,-1.305802,-0.000478,-0.070398
0.011,-7.260771,1.777928,553.38454,-38.864337,0.190353,-0.046417,-0.000344,-0.07023
0.012,-7.171835,1.860238,553.891877,-38.897462,0.123953,-0.727942,-0.000224,-0.070226
0.013,-7.171661,2.123493,554.053088,-38.874372,0.054293,-1.253805,-0.000098,-0.070164
0.014,-7.262454,2.488584,554.072498,-38.831957,0.007065,-0.047165,-0.000013,-0.070085
0.015,-7.085815,2.657854,554.580778,-38.803434,-0.055458,-0.815055,0.0001,-0.069969
0.016,-7.085367,2.922758,554.572466,-38.814011,-0.147821,-1.192251,0.000267,-0.069989
0.017,-7.264172,3.28897,554.587476,-38.771165,-0.198998,-0.036096,0.000359,-0.06991
0.018,-7.086495,3.545568,555.094001,-38.746209,-0.215663,-0.907067,0.000389,-0.069801
0.019,-6.997496,3.899339,555.088689,-38.696221,-0.257478,-1.164149,0.000464,-0.069712
0.02,-7.176327,4.176623,555.102746,-38.64894,-0.308803,-0.053544,0.000556,-0.069625
0.021,-6.999626,4.43258,555.609612,-38.62371,-0.371791,-0.982221,0.000669,-0.069516
0.022,-6.822456,4.698252,555.607687,-38.570389,-0.409274,-1.119238,0.000737,-0.06942
0.023,-6.91145,4.974853,555.449029,-38.555731,-0.433539,-0.082963,0.000781,-0.069414
0.024,-6.734099,5.141828,555.610611,-38.52625,-0.450698,-1.057145,0.000811,-0.06934
0.025,-6.556846,5.410047,555.608493,-38.539231,-0.533651,-1.079191,0.00096,-0.069364
0.026,-6.648032,5.683586,555.796502,-38.458378,-0.558589,-0.124333,0.001005,-0.069195
0.027,-6.646492,5.939559,555.611475,-38.432495,-0.584231,-1.144264,0.001052,-0.069172
0.028,-6.38083,6.208973,555.267356,-38.381058,-0.6166,-1.034279,0.00111,-0.069122
0.029,-6.471355,6.392872,555.453996,-38.361004,-0.641895,-0.182551,0.001156,-0.069062
0.03,-6.382021,6.559693,555.441745,-38.363752,-0.686503,-1.231244,0.001236,-0.069069
0.031,-6.205519,6.830363,555.785806,-38.312493,-0.722477,-0.989179,0.0013,-0.068934
0.032,-6.206752,7.013537,555.800799,-38.259397,-0.766845,-0.211861,0.00138,-0.068837
0.033,-6.117063,7.092585,556.128503,-38.257761,-0.764993,-1.28199,0.001376,-0.068793
0.034,-6.029666,7.361808,556.305448,-38.239568,-0.782628,-0.955843,0.001407,-0.068738
0.035,-5.94249,7.456579,555.974955,-38.182442,-0.822907,-0.240974,0.00148,-0.068677
