TIME,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,M000X,M000Y,M000Z,M001X,M001Y,M001Z,M002X,M002Y,M002Z,M003X,M003Y,M003Z,M004X,M004Y,M004Z,M005X,M005Y,M005Z,M006X,M006Y,M006Z
0,-3.241824,-2.762992,551.471625,-22.953602,-1.334591,-0.18398,0.00242,-0.041622,-307.764,176.144,-23.2125,-340.047,272.872,-17.6034,-267.166,419.638,-1.0922,-298.216,394.587,34.1148,-315.55,302.987,448.973,-312.973,278.419,962.27,-307.552,286.735,1123.76
0.00833333,-3.300268628,-2.674960999,551.2995263,-22.92473333,-1.314513347,-0.207169056,0.002384333,-0.041583,-308.084,176.42,-23.1203,-340.114,272.898,-17.6417,-267.173,419.613,-1.04046,-298.156,394.527,34.1234,-315.484,302.928,448.96,-313.459,278.293,962.47,-307.556,286.699,1123.7
0.0166667,-3.242163,-2.941316,551.644823,-22.846619,-1.31183,-0.183704,0.002378,-0.041415,-307.76,176.141,-23.2122,-340.001,272.888,-17.4742,-267.133,419.561,-0.971198,-298.022,394.458,34.2723,-315.427,302.987,448.895,-313.241,278.303,962.134,-307.971,286.557,1123.52
0.025,-3.241554,-2.853415,551.301476,-22.850902,-1.265972,-0.195674,0.002296,-0.041449,-307.923,176.354,-23.0442,-340.132,272.966,-17.7041,-267.186,419.659,-1.09714,-298.108,394.542,34.1421,-315.614,302.902,449.013,-312.979,278.4,962.436,-308.017,286.68,1123.75
0.0333333,-3.241338365,-2.97095639,551.4726057,-22.81246247,-1.273488539,-0.179599072,0.002309003,-0.041366334,-307.777,176.189,-23.1776,-340.033,272.907,-17.495,-267.119,419.537,-1.01012,-298.034,394.442,34.2304,-315.609,302.992,448.944,-313.535,278.049,962.104,-308.191,286.53,1123.55
0.0416667,-3.240154321,-3.029831337,551.0702604,-22.79897076,-1.204428563,-0.17147833,0.002185332,-0.041372335,-307.84,176.338,-23.1092,-340.047,272.922,-17.6334,-267.134,419.594,-1.08582,-298.201,394.565,34.0898,-315.507,303.056,448.859,-313.629,278.307,962.195,-308.226,286.616,1123.79
0.05,-3.062929,-2.941735,551.129929,-22.749132,-1.142127,-0.125701,0.002072,-0.041277,-307.898,176.285,-23.221,-339.99,272.881,-17.4813,-267.144,419.597,-0.997066,-298.104,394.503,34.1966,-315.659,302.989,448.987,-313.653,278.258,962.205,-308.382,286.522,1123.71
0.0583333,-3.150424658,-2.764446317,551.069423,-22.72449228,-1.04628243,-0.142390669,0.001898335,-0.041237006,-307.756,176.095,-23.2306,-340.047,272.943,-17.6718,-267.165,419.689,-1.02323,-298.115,394.545,34.1365,-315.67,303.142,448.866,-313.871,277.904,962.174,-308.611,286.342,1123.52
0.0666667,-3.120327947,-2.706606054,550.956182,-22.66169913,-0.983662142,-0.144598962,0.001785334,-0.041131667,-307.801,176.227,-23.2127,-340.142,272.945,-17.7193,-267.142,419.617,-1.04982,-298.132,394.539,34.1271,-315.697,303.145,448.881,-313.807,278.221,962.411,-308.676,286.389,1123.66
0.075,-3.237165,-2.587908,550.780763,-22.56857,-0.919928,-0.158941,0.00167,-0.040976,-307.998,176.402,-23.0266,-340.177,272.941,-17.7771,-267.161,419.617,-1.0519,-298.119,394.504,34.1143,-315.913,303.001,449.004,-313.898,277.946,962.446,-308.719,286.418,1123.7
0.0833333,-3.295843942,-2.647654251,550.9528789,-22.53285552,-0.853681801,-0.128268161,0.001549667,-0.040897666,-307.904,176.278,-23.1729,-340.077,272.839,-17.5233,-267.128,419.579,-0.975251,-298.129,394.433,34.1818,-315.843,303.206,448.871,-314.145,277.802,962.373,-308.868,286.311,1123.58
0.0916667,-3.295627936,-2.648143912,550.8379778,-22.48919662,-0.792329366,-0.128116161,0.001438332,-0.040827336,-307.859,176.305,-23.1305,-340.12,272.947,-17.6676,-267.221,419.648,-1.11246,-298.276,394.524,34.0103,-316.025,303.134,448.97,-314.178,277.949,962.593,-308.998,286.369,1123.81
0.1,-3.32465,-2.677635,550.780252,-22.43299,-0.786068,-0.129666,0.001427,-0.040729,-307.846,176.19,-23.2432,-340.035,272.959,-17.5725,-267.174,419.517,-1.02454,-298.17,394.472,34.1371,-316.026,303.286,448.86,-314.293,278.19,962.3,-309.228,286.303,1123.61
0.108333,-3.32435,-2.677569,550.264447,-22.400465,-0.763198,-0.129709,0.001387,-0.040709,-307.9,176.337,-23.1599,-340.108,273.013,-17.7191,-267.199,419.602,-1.07455,-298.262,394.52,34.0538,-316.049,303.404,448.893,-314.468,277.738,962.669,-309.393,286.356,1123.7
0.116667,-3.382899881,-2.765900415,550.0920208,-22.36348895,-0.743009439,-0.106434066,0.001350336,-0.040654,-307.93,176.345,-23.2013,-340.057,273.017,-17.5827,-267.186,419.566,-1.02502,-298.109,394.462,34.1768,-316.258,303.217,448.99,-314.545,277.645,962.582,-309.359,286.392,1123.75
0.125,-3.322825,-2.854025,550.090384,-22.359436,-0.693954,-0.105484,0.001262,-0.040647,-307.923,176.365,-23.1821,-340.177,272.977,-17.7703,-267.233,419.75,-1.12408,-298.193,394.535,34.0634,-316.38,303.289,448.885,-314.701,277.645,962.583,-309.558,286.272,1123.6
0.133333,-3.440251102,-2.826009442,550.2615404,-22.30577789,-0.569167293,-0.097879729,0.001034317,-0.040536324,-308.012,176.239,-23.0545,-340.189,273.059,-17.8168,-267.212,419.751,-1.08576,-298.3,394.613,33.9608,-316.299,303.433,448.925,-314.664,277.949,962.778,-309.633,286.47,1123.76
0.141667,-3.322304021,-2.620758924,550.8920065,-22.28268748,-0.448145206,-0.12071933,0.000813319,-0.040448312,-307.783,176.221,-23.1498,-340.09,273.022,-17.7292,-267.246,419.73,-1.10531,-298.423,394.689,33.9878,-316.423,303.306,448.968,-314.842,277.797,962.704,-309.874,286.431,1123.81
0.15,-3.412142,-2.504168,551.809897,-22.243923,-0.421564,-0.111679,0.000764,-0.040311,-307.653,176.068,-23.2518,-340.07,272.94,-17.534,-267.185,419.611,-0.991106,-298.196,394.524,34.1154,-316.457,303.474,448.946,-315.686,276.986,962.861,-309.95,286.267,1123.58
0.158333,-3.41189683,-2.356838409,552.038185,-22.27271975,-0.359944881,-0.115565701,0.000651986,-0.04034636,-307.886,176.295,-23.1305,-340.171,273.07,-17.7782,-267.259,419.667,-1.08653,-298.261,394.56,34.0039,-316.544,303.379,448.992,-315.02,277.883,962.722,-310.064,286.303,1123.71
0.166667,-3.412060801,-2.327958461,552.2675756,-22.16462305,-0.31381665,-0.111366965,0.000567986,-0.040133976,-307.734,176.092,-23.2847,-340.084,272.955,-17.6361,-267.218,419.595,-1.03712,-298.147,394.477,34.1218,-316.538,303.556,448.92,-314.883,277.557,962.852,-310.184,286.22,1123.61
0.175,-3.412064,-2.328181,551.981564,-22.0882,-0.306298,-0.111367,0.000555,-0.040016,-307.853,176.282,-23.1866,-340.231,272.999,-17.9308,-267.26,419.638,-1.1043,-298.259,394.585,34.0268,-316.571,303.568,448.919,-315.299,277.961,962.745,-310.171,286.384,1123.78
0.183333,-3.498816689,-2.267186682,551.1182797,-22.05840303,-0.287288706,-0.112397338,0.000521,-0.040024669,-307.909,176.324,-23.2504,-340.046,273.02,-17.6609,-267.249,419.589,-1.04147,-298.218,394.506,34.0828,-316.7,303.409,448.96,-315.629,277.924,962.833,-310.353,286.463,1123.78
0.191667,-3.233336475,-2.385268723,550.4910231,-21.93363638,-0.282502977,-0.079576644,0.000512986,-0.039843982,-307.82,176.199,-23.2667,-340.15,272.998,-17.7958,-267.276,419.647,-1.08957,-298.339,394.671,33.9429,-316.679,303.631,448.956,-315.68,277.407,962.678,-310.58,286.182,1123.54
0.2,-3.320492,-2.32489,549.914997,-21.827112,-0.255827,-0.080476,0.000465,-0.039692,-307.647,175.974,-23.3893,-340.14,273.034,-17.8197,-267.26,419.659,-1.08981,-298.42,394.667,33.9536,-316.673,303.7,448.959,-315.719,277.629,962.822,-310.551,286.291,1123.68
0.208333,-3.318238311,-2.029208718,549.5115028,-21.87410688,-0.140383289,-0.080446402,0.000255333,-0.039806347,-307.82,176.201,-23.2254,-340.199,272.973,-17.8438,-267.234,419.611,-1.06037,-298.343,394.585,33.9962,-316.791,303.591,448.948,-315.845,277.834,962.837,-310.668,286.229,1123.67
0.216667,-3.376592896,-2.118825657,549.6815695,-21.88058314,-0.028100013,-0.095275647,5.13E-05,-0.039806379,-307.802,176.13,-23.2809,-340.124,273.017,-17.656,-267.218,419.58,-1.01441,-298.216,394.481,34.1132,-316.752,303.807,448.945,-315.913,277.332,962.789,-310.706,286.152,1123.5
0.225,-3.404391,-1.971494,549.736042,-21.876548,0.132011,-0.096545,-0.00024,-0.039795,-307.799,176.202,-23.1566,-340.178,273.106,-17.8683,-267.26,419.619,-1.10912,-298.368,394.547,33.9742,-316.922,303.589,448.958,-316.104,277.777,962.932,-310.782,286.293,1123.76
0.233333,-3.639251109,-1.971682187,549.903858,-21.90864024,0.236044289,-0.107490614,-0.000429331,-0.039841,-307.698,176.033,-23.3197,-340.125,272.967,-17.6592,-267.277,419.658,-1.03915,-298.261,394.49,34.0448,-316.928,303.748,448.905,-316.216,277.368,962.855,-311,286.16,1123.64
0.241667,-3.815244062,-1.972049634,550.0160756,-21.93000617,0.31979635,-0.107264219,-0.000581706,-0.039871349,-307.874,176.264,-23.1719,-340.171,273.033,-17.8272,-267.288,419.619,-1.08665,-298.513,394.58,33.8753,-317.021,303.84,448.931,-316.133,278.585,962.655,-310.989,286.287,1123.75
0.25,-3.93216,-2.149315,549.898045,-21.965033,0.406195,-0.129411,-0.000739,-0.039944,-307.673,176.004,-23.3527,-340.131,272.976,-17.7,-267.278,419.563,-1.02764,-298.311,394.488,34.0186,-317.073,303.782,448.935,-316.423,277.494,962.962,-311.141,286.303,1123.76
0.258333,-3.961190258,-2.208959585,550.4695426,-22.00559066,0.48170608,-0.134671452,-0.000875322,-0.039976323,-307.741,176.086,-23.3315,-340.242,273.174,-17.8277,-267.353,419.705,-1.07557,-298.469,394.54,33.9228,-317.083,303.958,448.962,-316.663,276.679,962.752,-311.328,286.032,1123.5
0.266667,-4.195787066,-2.534165317,550.4660471,-22.05519119,0.577732346,-0.141491993,-0.001049333,-0.040066367,-307.784,176.133,-23.2657,-340.356,272.961,-17.9536,-267.379,419.693,-1.12444,-298.413,394.523,33.9236,-317.188,303.929,448.924,-316.611,277.46,962.937,-311.327,286.203,1123.72
0.275,-4.195165,-2.593856,550.922158,-22.074147,0.716154,-0.133035,-0.0013,-0.040068,-307.772,176.207,-23.211,-340.342,273.047,-18.0147,-267.363,419.646,-1.11657,-298.412,394.565,33.8969,-317.318,303.858,448.964,-316.69,277.753,963.024,-311.404,286.249,1123.84
0.283333,-4.37082016,-2.594669761,550.8051538,-22.02999331,0.845800964,-0.132700749,-0.001535625,-0.039996024,-307.876,176.203,-23.2998,-340.175,273.028,-17.7162,-267.368,419.642,-1.08862,-298.353,394.503,33.9767,-317.298,303.997,448.907,-316.987,277.054,962.785,-311.52,286.043,1123.62
0.291667,-4.398252574,-2.477478242,550.9167849,-21.94796405,1.05966777,-0.129747667,-0.001923697,-0.039839331,-307.607,176.139,-23.2183,-340.29,273.073,-17.8736,-267.402,419.706,-1.16265,-298.556,394.595,33.8517,-317.489,303.896,448.949,-317.58,276.87,963.102,-311.529,286.028,1123.61
0.3,-4.455721,-2.330771,550.913871,-21.823554,1.256637,-0.136487,-0.002281,-0.039613,-307.981,176.253,-23.2567,-340.236,273.041,-17.7394,-267.373,419.647,-1.03819,-298.388,394.51,33.9776,-317.474,304.053,448.959,-317.143,277.064,962.801,-311.753,285.849,1123.49
0.308333,-4.542620273,-2.271959869,550.7386775,-21.81518498,1.383022551,-0.153046657,-0.002510972,-0.039610955,-307.773,176.152,-23.2652,-340.386,273.152,-17.9757,-267.435,419.669,-1.15967,-298.503,394.57,33.8373,-317.543,304.128,448.88,-316.913,277.224,962.975,-311.761,285.98,1123.6
0.316667,-4.630042112,-2.213292112,551.021433,-21.74108735,1.540364056,-0.161419627,-0.002795347,-0.039456307,-307.773,176.051,-23.3583,-340.219,273.103,-17.827,-267.43,419.666,-1.08355,-298.411,394.53,33.9549,-317.645,304.024,448.971,-317.329,277.392,962.84,-311.868,285.953,1123.63
0.325,-4.717408,-2.421501,550.734883,-21.654716,1.681583,-0.140127,-0.003053,-0.03932,-307.878,176.153,-23.2664,-340.324,273.059,-18.1249,-267.483,419.7,-1.20544,-298.525,394.56,33.8432,-317.763,304.037,448.937,-317.67,276.853,962.789,-312.071,285.865,1123.61
0.333333,-4.804752858,-2.273318277,551.0172129,-21.71605629,1.777635977,-0.152785356,-0.003226319,-0.039410685,-307.888,176.12,-23.3342,-340.266,273.158,-18.0241,-267.508,419.709,-1.15591,-298.647,394.638,33.8268,-317.718,304.173,448.954,-317.59,277.095,962.813,-312.272,285.927,1123.74
0.341667,-4.832412063,-2.333151198,550.9583586,-21.68041004,1.922109781,-0.138757937,-0.003489017,-0.039350024,-307.769,176.052,-23.24,-340.307,273.189,-17.9926,-267.525,419.706,-1.16032,-298.673,394.642,33.7992,-317.835,304.106,449.027,-317.707,276.928,962.801,-312.469,285.831,1123.63
0.35,-4.801745,-2.244558,550.898426,-21.63014,2.069682,-0.132054,-0.003757,-0.039263,-307.91,176.187,-23.2727,-340.327,272.945,-17.7943,-267.45,419.578,-1.02526,-298.459,394.527,33.9347,-317.738,304.279,448.919,-317.802,276.587,962.724,-312.502,285.535,1123.44
0.358333,-4.800337813,-2.097677551,550.8980806,-21.59324991,2.161863425,-0.135832026,-0.003924,-0.039196296,-307.806,176.067,-23.2611,-340.331,273.122,-18.0234,-267.418,419.667,-1.12993,-298.586,394.573,33.8445,-317.91,304.141,448.995,-317.831,276.647,962.752,-312.501,285.725,1123.65
0.366667,-4.710154689,-1.831527682,551.068617,-21.55149203,2.281839294,-0.098834005,-0.004141,-0.039108669,-307.699,176.032,-23.288,-340.301,273.087,-17.9253,-267.42,419.622,-1.0609,-298.511,394.528,33.9284,-317.79,304.351,448.871,-318.044,276.611,962.75,-312.711,285.499,1123.45
0.375,-4.797416,-1.714617,550.895264,-21.523925,2.392633,-0.131399,-0.004343,-0.039071,-307.851,176.151,-23.2112,-340.459,273.034,-18.1076,-267.487,419.663,-1.14864,-298.711,394.582,33.8044,-317.897,304.333,448.908,-318.011,276.706,962.809,-312.613,285.673,1123.69
0.383333,-4.825273863,-1.80221196,550.3194854,-21.47629496,2.468095244,-0.116911044,-0.004484988,-0.039025349,-307.865,176.097,-23.3645,-340.318,273.097,-17.8777,-267.492,419.617,-1.11324,-298.579,394.509,33.8932,-318.101,304.193,449.018,-317.896,277.577,962.5,-312.731,285.669,1123.6
0.391667,-4.972204217,-1.832063815,550.431746,-21.49640896,2.553245893,-0.10707966,-0.004638653,-0.039053646,-307.95,176.145,-23.3118,-340.337,273.17,-18.0171,-267.519,419.669,-1.1611,-298.695,394.588,33.7365,-317.845,304.449,448.837,-318.401,276.248,962.627,-313.081,285.43,1123.4
0.4,-4.971435,-2.069171,550.546503,-21.506971,2.614431,-0.106733,-0.004749,-0.039065,-308.003,176.171,-23.2931,-340.341,273.155,-18.0998,-267.515,419.628,-1.11306,-298.712,394.583,33.7312,-317.965,304.463,448.787,-318.414,275.963,962.654,-313.055,285.328,1123.44
0.408333,-5.000434119,-2.158138252,550.5446522,-21.56814805,2.658978439,-0.146607601,-0.004829336,-0.039176,-307.802,176.059,-23.2923,-340.358,273.151,-18.0812,-267.532,419.686,-1.16199,-298.55,394.562,33.8212,-318.237,304.202,449.001,-318.429,276.394,962.75,-313.064,285.424,1123.5
0.416667,-5.058649438,-2.305863036,550.1431157,-21.59406962,2.69429217,-0.131322033,-0.004897306,-0.039251339,-307.61,175.884,-23.4684,-340.313,273.127,-17.9272,-267.496,419.631,-1.12236,-298.495,394.508,33.9344,-318.179,304.312,448.863,-318.618,276.186,962.651,-313.346,285.291,1123.33
0.425,-4.969227,-2.335626,550.02844,-21.592786,2.729187,-0.152011,-0.004962,-0.039258,-307.874,176.179,-23.2155,-340.442,273.1,-18.1661,-267.538,419.68,-1.1813,-298.694,394.62,33.7987,-318.371,304.26,449.019,-318.613,276.221,962.688,-313.385,285.4,1123.52
0.433333,-4.968406,-2.246732,550.198546,-21.564165,2.798627,-0.139859,-0.005087,-0.039193,-307.787,176.093,-23.3367,-340.399,273.116,-17.903,-267.508,419.631,-1.10346,-298.619,394.589,33.857,-318.298,304.362,448.9,-319.211,275.615,962.825,-313.459,285.245,1123.35
0.441667,-4.880505468,-2.336258794,550.6574666,-21.60358805,2.81814335,-0.168461965,-0.00511768,-0.039231976,-307.799,176.056,-23.2381,-340.359,273.17,-18.1054,-267.555,419.711,-1.15967,-298.73,394.682,33.6944,-318.177,304.441,448.859,-318.794,276.08,962.67,-313.515,285.257,1123.45
0.45,-5.05632,-2.246156,550.538795,-21.695014,2.840783,-0.156585,-0.00516,-0.039407,-307.906,176.073,-23.3384,-340.362,273.113,-17.9598,-267.525,419.618,-1.08814,-298.616,394.583,33.8162,-318.456,304.236,448.971,-318.291,276.186,962.943,-313.609,285.126,1123.41
0.458333,-4.879176264,-2.394973098,550.826504,-21.7430269,2.9182321,-0.160226267,-0.005297708,-0.03947368,-307.821,176.084,-23.3325,-340.431,273.196,-18.1651,-267.571,419.678,-1.14578,-298.696,394.606,33.7836,-318.435,304.405,448.835,-318.846,275.8,962.544,-313.772,285.019,1123.26
0.466667,-4.879047368,-2.601158134,550.7115816,-21.82082288,2.887362333,-0.156264386,-0.005242972,-0.03962304,-307.958,176.195,-23.3063,-340.434,273.21,-18.1983,-267.544,419.721,-1.17135,-298.705,394.591,33.7667,-318.524,304.342,448.877,-319.029,275.925,962.708,-313.74,285.107,1123.37
0.475,-4.878103,-2.688745,550.366848,-21.838668,2.872063,-0.144354,-0.005218,-0.03968,-307.836,176.14,-23.231,-340.392,273.17,-18.1158,-267.568,419.662,-1.27852,-298.732,394.626,33.7201,-318.584,304.291,448.987,-318.988,275.812,962.669,-313.814,285.169,1123.5
0.483333,-4.849730603,-2.896010473,550.4846026,-21.91651564,2.811682688,-0.120354782,-0.00510765,-0.039813018,-307.949,176.16,-23.2857,-340.368,273.091,-17.9328,-267.504,419.587,-1.1251,-298.61,394.544,33.8367,-318.514,304.446,448.863,-319.08,275.578,962.531,-313.868,284.996,1123.33
