Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,,act time
-1.793,-5.559307,0.304362,552.42935,-23.714849,-11.275607,-0.118822,0.020411,-0.042928,,1.793
-1.792,-5.558629,0.21651,552.600466,-23.743365,-11.298458,-0.106815,0.020446,-0.042967,,
-1.791,-5.646984,0.216446,552.941918,-23.74292,-11.256434,-0.123464,0.020357,-0.042939,,
-1.79,-5.557665,0.216637,552.597074,-23.743263,-11.20614,-0.140221,0.020279,-0.042967,,
-1.789,-5.645932,0.216274,552.769063,-23.775813,-11.18735,-0.12333,0.020239,-0.043012,,
-1.788,-5.46933,0.125967,553.11539,-23.771819,-11.133075,-0.135003,0.020128,-0.042978,,
-1.787,-5.646028,0.125725,552.941552,-23.738689,-11.072498,-0.134893,0.020025,-0.042932,,
-1.786,-5.733952,0.126546,552.767689,-23.771254,-11.099682,-0.151839,0.02008,-0.043004,,
-1.785,-5.821905,-0.051135,552.765332,-23.762595,-11.011895,-0.168334,0.019921,-0.042989,,
-1.784,-5.732928,0.125871,552.938229,-23.803998,-10.984441,-0.151512,0.019866,-0.04305,,
-1.783,-5.731729,0.12622,552.935461,-23.803801,-10.938198,-0.185014,0.019782,-0.04305,,
-1.782,-5.643401,0.125781,552.937404,-23.804096,-10.934065,-0.168173,0.019775,-0.04305,,
-1.781,-5.731897,0.038045,552.933854,-23.799797,-10.892005,-0.172904,0.019699,-0.043043,,
-1.78,-5.819682,-0.051462,552.933104,-23.795143,-10.850412,-0.201509,0.019623,-0.043034,,
-1.779,-5.731355,-0.0519,552.935047,-23.795438,-10.846279,-0.184667,0.019616,-0.043035,,
-1.778,-5.818798,-0.051796,552.932793,-23.795082,-10.804354,-0.201367,0.01954,-0.043034,,
-1.777,-5.81863,-0.051634,552.760249,-23.828036,-10.781328,-0.201375,0.019505,-0.043107,,
-1.776,-5.818115,-0.142081,553.104837,-23.823527,-10.689445,-0.212945,0.019326,-0.043072,,
-1.775,-5.728898,-0.230005,552.931553,-23.786817,-10.662059,-0.21768,0.019283,-0.043019,,
-1.774,-5.817439,-0.142134,552.760507,-23.823711,-10.643468,-0.2129,0.019255,-0.0431,,
-1.773,-5.727537,-0.142344,552.931156,-23.856519,-10.569986,-0.229472,0.019116,-0.043146,,
-1.772,-5.727772,-0.142565,552.930532,-23.856614,-10.52391,-0.229376,0.019033,-0.043146,,
-1.771,-5.727032,-0.320559,552.587481,-23.782675,-10.478222,-0.22916,0.018962,-0.043039,,
-1.77,-5.727032,-0.320559,552.587481,-23.782675,-10.478222,-0.22916,0.018962,-0.043039,,
-1.769,-5.813966,-0.230682,552.41118,-23.819573,-10.41294,-0.233962,0.01885,-0.043119,,
-1.768,-5.814033,-0.142728,552.412163,-23.823672,-10.413058,-0.245977,0.01885,-0.043127,,
-1.767,-5.90141,-0.230578,552.408926,-23.819217,-10.371015,-0.250662,0.018774,-0.043119,,
-1.766,-5.901241,-0.230416,552.236382,-23.852172,-10.347989,-0.25067,0.018738,-0.043192,,
-1.765,-5.90161,-0.320529,552.581281,-23.847723,-10.302164,-0.262383,0.018644,-0.043157,,
-1.764,-5.900558,-0.320702,552.408426,-23.880617,-10.23308,-0.262249,0.018524,-0.04323,,
-1.763,-5.899674,-0.321036,552.408115,-23.880556,-10.187022,-0.262107,0.018441,-0.04323,,
