Time,,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,,,,,Time,,,,,,,,,M000,,,M001,,,M002,,,M003,,,M004,,,M005,,,M006,,
0,0,-3.241824,-2.762992,551.471625,-22.953602,-1.334591,-0.18398,0.00242,-0.041622,,,,,s,,,,,,,,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
0.001,0.001,-3.242368,-2.763034,551.472694,-22.887938,-1.380724,-0.18406,0.002504,-0.041503,,,,,,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.002,0.002,-3.240913,-2.762824,551.127919,-22.953691,-1.33469,-0.184031,0.002422,-0.041649,,,,,0,-3.241824,-2.762992,551.471625,-22.953602,-1.334591,-0.18398,0.00242,-0.041622,-307.764,176.144,-23.2125,-340.047,272.872,-17.6034,-267.166,419.638,-1.0922,-298.216,394.587,34.1148,-315.55,302.987,448.973,-312.973,278.419,962.27,-307.552,286.735,1123.76
0.003,0.003,-3.240913,-2.762824,551.127919,-22.953691,-1.33469,-0.184031,0.002422,-0.041649,,,,,0.00833333,-3.300268628,-2.674960999,551.2995263,-22.92473333,-1.314513347,-0.207169056,0.002384333,-0.041583,-308.084,176.42,-23.1203,-340.114,272.898,-17.6417,-267.173,419.613,-1.04046,-298.156,394.527,34.1234,-315.484,302.928,448.96,-313.459,278.293,962.47,-307.556,286.699,1123.7
0.004,0.004,-3.241485,-2.763369,551.472383,-22.887877,-1.334666,-0.183918,0.00242,-0.041503,,,,,0.0166667,-3.242163,-2.941316,551.644823,-22.846619,-1.31183,-0.183704,0.002378,-0.041415,-307.76,176.141,-23.2122,-340.001,272.888,-17.4742,-267.133,419.561,-0.971198,-298.022,394.458,34.2723,-315.427,302.987,448.895,-313.241,278.303,962.134,-307.971,286.557,1123.52
0.005,0.005,-3.241826,-2.852979,551.473886,-22.883578,-1.334998,-0.195823,0.002421,-0.041495,,,,,0.025,-3.241554,-2.853415,551.301476,-22.850902,-1.265972,-0.195674,0.002296,-0.041449,-307.923,176.354,-23.0442,-340.132,272.966,-17.7041,-267.186,419.659,-1.09714,-298.108,394.542,34.1421,-315.614,302.902,449.013,-312.979,278.4,962.436,-308.017,286.68,1123.75
0.006,0.006,-3.241826,-2.852979,551.473886,-22.883578,-1.334998,-0.195823,0.002421,-0.041495,,,,,0.0333333,-3.241338365,-2.97095639,551.4726057,-22.81246247,-1.273488539,-0.179599072,0.002309003,-0.041366334,-307.777,176.189,-23.1776,-340.033,272.907,-17.495,-267.119,419.537,-1.01012,-298.034,394.442,34.2304,-315.609,302.992,448.944,-313.535,278.049,962.104,-308.191,286.53,1123.55
0.007,0.007,-3.241485,-2.763369,551.472383,-22.887877,-1.334666,-0.183918,0.00242,-0.041503,,,,,0.0416667,-3.240154321,-3.029831337,551.0702604,-22.79897076,-1.204428563,-0.17147833,0.002185332,-0.041372335,-307.84,176.338,-23.1092,-340.047,272.922,-17.6334,-267.134,419.594,-1.08582,-298.201,394.565,34.0898,-315.507,303.056,448.859,-313.629,278.307,962.195,-308.226,286.616,1123.79
0.008,0.008,-3.329711,-2.674815,551.298879,-22.924635,-1.315891,-0.212783,0.002387,-0.041583,,,,,0.05,-3.062929,-2.941735,551.129929,-22.749132,-1.142127,-0.125701,0.002072,-0.041277,-307.898,176.285,-23.221,-339.99,272.881,-17.4813,-267.144,419.597,-0.997066,-298.104,394.503,34.1966,-315.659,302.989,448.987,-313.653,278.258,962.205,-308.382,286.522,1123.71
0.009,0.009,-3.241383,-2.675253,551.300821,-22.92493,-1.311758,-0.195941,0.002379,-0.041583,,,,,0.0583333,-3.150424658,-2.764446317,551.069423,-22.72449228,-1.04628243,-0.142390669,0.001898335,-0.041237006,-307.756,176.095,-23.2306,-340.047,272.943,-17.6718,-267.165,419.689,-1.02323,-298.115,394.545,34.1365,-315.67,303.142,448.866,-313.871,277.904,962.174,-308.611,286.342,1123.52
