Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0,-3.241824,-2.762992,551.471625,-22.953602,-1.334591,-0.18398,0.00242,-0.041622
0.001,-3.242368,-2.763034,551.472694,-22.887938,-1.380724,-0.18406,0.002504,-0.041503
0.002,-3.240913,-2.762824,551.127919,-22.953691,-1.33469,-0.184031,0.002422,-0.041649
0.003,-3.240913,-2.762824,551.127919,-22.953691,-1.33469,-0.184031,0.002422,-0.041649
0.004,-3.241485,-2.763369,551.472383,-22.887877,-1.334666,-0.183918,0.00242,-0.041503
0.005,-3.241826,-2.852979,551.473886,-22.883578,-1.334998,-0.195823,0.002421,-0.041495
0.006,-3.241826,-2.852979,551.473886,-22.883578,-1.334998,-0.195823,0.002421,-0.041495
0.007,-3.241485,-2.763369,551.472383,-22.887877,-1.334666,-0.183918,0.00242,-0.041503
0.008,-3.329711,-2.674815,551.298879,-22.924635,-1.315891,-0.212783,0.002387,-0.041583
0.009,-3.241383,-2.675253,551.300821,-22.92493,-1.311758,-0.195941,0.002379,-0.041583
0.01,-3.241725,-2.764864,551.302325,-22.920631,-1.31209,-0.207846,0.00238,-0.041575
0.011,-3.241485,-2.763369,551.472383,-22.887877,-1.334666,-0.183918,0.00242,-0.041503
0.012,-3.241316,-2.763207,551.299839,-22.920831,-1.31164,-0.183926,0.002379,-0.041576
0.013,-3.241787,-2.675636,551.472741,-22.892071,-1.288708,-0.195836,0.002337,-0.041511
0.014,-3.329644,-2.762769,551.297896,-22.920536,-1.315774,-0.200768,0.002387,-0.041576
0.015,-3.242061,-2.8532,551.473262,-22.883673,-1.288922,-0.195727,0.002337,-0.041496
0.016,-3.242163,-2.941316,551.644823,-22.846619,-1.31183,-0.183704,0.002378,-0.041415
0.017,-3.242163,-2.941316,551.644823,-22.846619,-1.31183,-0.183704,0.002378,-0.041415
0.018,-3.242061,-2.8532,551.473262,-22.883673,-1.288922,-0.195727,0.002337,-0.041496
0.019,-3.240809,-2.763422,551.128053,-22.888061,-1.288689,-0.183873,0.002338,-0.041529
0.02,-3.241994,-2.941154,551.472279,-22.879574,-1.288804,-0.183713,0.002337,-0.041488
0.021,-3.241618,-2.941273,551.643754,-22.912284,-1.265697,-0.183624,0.002294,-0.041535
0.022,-3.241111,-2.941488,551.471968,-22.879513,-1.242746,-0.18357,0.002254,-0.041488
0.023,-3.241581,-2.853917,551.644871,-22.850752,-1.219814,-0.19548,0.002211,-0.041423
0.024,-3.241487,-2.941369,551.300493,-22.846803,-1.265854,-0.183659,0.002296,-0.041442
0.025,-3.241554,-2.853415,551.301476,-22.850902,-1.265972,-0.195674,0.002296,-0.041449
0.026,-3.24189,-2.941751,551.472413,-22.813944,-1.242804,-0.183554,0.002254,-0.041369
0.027,-3.242398,-2.941537,551.644199,-22.846714,-1.265754,-0.183608,0.002295,-0.041416
0.028,-3.241044,-3.029442,551.470985,-22.875414,-1.242629,-0.171556,0.002253,-0.041481
0.029,-3.241452,-3.031099,551.473472,-22.875214,-1.243078,-0.195476,0.002254,-0.04148
0.03,-3.241111,-2.941488,551.471968,-22.879513,-1.242746,-0.18357,0.002254,-0.041488
0.031,-3.241279,-2.94165,551.644512,-22.846558,-1.265772,-0.183562,0.002295,-0.041415
0.032,-3.241111,-2.941488,551.471968,-22.879513,-1.242746,-0.18357,0.002254,-0.041488
0.033,-3.241655,-2.94153,551.473037,-22.813849,-1.288879,-0.183651,0.002337,-0.041369
0.034,-3.240705,-3.029818,551.471743,-22.809689,-1.242703,-0.171494,0.002253,-0.041361
0.035,-3.241514,-2.941871,551.643888,-22.846654,-1.219696,-0.183466,0.002211,-0.041416
0.036,-3.241111,-2.941488,551.471968,-22.879513,-1.242746,-0.18357,0.002254,-0.041488
0.037,-3.24094,-3.030039,551.471119,-22.809784,-1.196628,-0.171398,0.00217,-0.041362
0.038,-3.24094,-3.030039,551.471119,-22.809784,-1.196628,-0.171398,0.00217,-0.041362
0.039,-3.240809,-3.030135,551.127858,-22.744304,-1.196784,-0.171433,0.002172,-0.041269
0.04,-3.240472,-2.941798,550.956921,-22.781262,-1.219952,-0.183552,0.002214,-0.041349
0.041,-3.240405,-3.029752,550.955938,-22.777163,-1.219834,-0.171537,0.002214,-0.041341
0.042,-3.240029,-3.029871,551.127413,-22.809873,-1.196727,-0.171449,0.002171,-0.041388
0.043,-3.152105,-3.030692,551.301276,-22.777308,-1.169544,-0.154502,0.002121,-0.041316
0.044,-3.240432,-3.030254,551.299333,-22.777014,-1.173677,-0.171344,0.002129,-0.041315
0.045,-3.152172,-2.942739,551.302259,-22.781407,-1.169662,-0.166517,0.002122,-0.041323
0.046,-3.152105,-3.030692,551.301276,-22.777308,-1.169544,-0.154502,0.002121,-0.041316
0.047,-3.152105,-3.030692,551.301276,-22.777308,-1.169544,-0.154502,0.002121,-0.041316
0.048,-3.151598,-3.030907,551.12949,-22.744538,-1.146593,-0.154449,0.00208,-0.041269
0.049,-3.151256,-2.941296,551.127987,-22.748837,-1.146261,-0.142543,0.00208,-0.041277
0.05,-3.062929,-2.941735,551.129929,-22.749132,-1.142127,-0.125701,0.002072,-0.041277
0.051,-3.151727,-2.853725,551.300889,-22.720076,-1.123329,-0.154453,0.002038,-0.041212
0.052,-3.15166,-2.941679,551.299907,-22.715977,-1.123211,-0.142438,0.002037,-0.041204
0.053,-3.151323,-2.853343,551.128969,-22.752936,-1.146379,-0.154558,0.00208,-0.041284
0.054,-3.150816,-2.853557,550.957183,-22.720165,-1.123428,-0.154504,0.002039,-0.041238
0.055,-3.150675,-2.853898,551.128034,-22.75297,-1.054245,-0.154319,0.001913,-0.041284
0.056,-3.150675,-2.853898,551.128034,-22.75297,-1.054245,-0.154319,0.001913,-0.041284
0.057,-3.150844,-2.854059,551.300578,-22.720015,-1.077271,-0.154311,0.001954,-0.041212
0.058,-3.150334,-2.764287,551.126531,-22.757269,-1.053913,-0.142414,0.001912,-0.041292
0.059,-3.150606,-2.764765,550.95519,-22.658929,-1.031019,-0.142344,0.001871,-0.041127
0.06,-3.149928,-2.852617,551.126306,-22.687445,-1.05387,-0.130337,0.001912,-0.041166
0.061,-3.061352,-2.764419,551.126775,-22.691703,-1.04967,-0.159154,0.001905,-0.041173
0.062,-3.150125,-2.587482,551.298688,-22.667082,-1.030724,-0.142356,0.00187,-0.041116
0.063,-3.060806,-2.587291,550.953844,-22.667425,-0.980429,-0.159113,0.00178,-0.041142
0.064,-3.06108,-2.764855,550.954365,-22.659027,-0.980644,-0.159004,0.00178,-0.041127
0.065,-3.061223,-2.676088,551.127862,-22.630507,-1.003522,-0.113446,0.001821,-0.041062
0.066,-3.061395,-2.765537,550.956822,-22.659163,-0.980828,-0.12536,0.00178,-0.041127
0.067,-3.14979,-2.677145,550.955862,-22.662967,-0.985079,-0.154217,0.001788,-0.041134
0.068,-3.150194,-2.677528,551.127782,-22.630107,-0.962029,-0.154112,0.001746,-0.041061
0.069,-3.149818,-2.677647,551.299257,-22.662817,-0.938922,-0.154023,0.001703,-0.041108
0.07,-3.061551,-2.677284,551.127268,-22.630266,-0.957711,-0.170914,0.001738,-0.041062
0.071,-3.061043,-2.677499,550.955482,-22.597496,-0.934761,-0.170861,0.001697,-0.041015
0.072,-3.060635,-2.675842,550.952995,-22.597696,-0.934311,-0.146941,0.001696,-0.041016
0.073,-3.14877,-2.6763,550.781723,-22.564766,-0.915677,-0.130085,0.001663,-0.040969
0.074,-3.148838,-2.588347,550.782706,-22.568865,-0.915795,-0.142099,0.001663,-0.040976
0.075,-3.237165,-2.587908,550.780763,-22.56857,-0.919928,-0.158941,0.00167,-0.040976
0.076,-3.148394,-2.67642,550.953198,-22.597476,-0.89257,-0.129996,0.00162,-0.041015
0.077,-3.2374,-2.588129,550.780139,-22.568665,-0.873852,-0.158845,0.001587,-0.040976
0.078,-3.236517,-2.588464,550.779828,-22.568604,-0.827794,-0.158703,0.001503,-0.040976
0.079,-3.23662,-2.587866,550.779694,-22.634234,-0.873795,-0.158861,0.001586,-0.041095
0.08,-3.148461,-2.588466,550.954181,-22.601575,-0.892688,-0.142011,0.00162,-0.041023
0.081,-3.236281,-2.588243,550.780452,-22.568509,-0.87387,-0.158799,0.001587,-0.040976
0.082,-3.236659,-2.499697,550.953326,-22.540084,-0.850672,-0.113145,0.001544,-0.040911
0.083,-3.325261,-2.676823,550.951904,-22.531391,-0.85502,-0.129877,0.001552,-0.040895
0.084,-3.237001,-2.589308,550.954829,-22.535785,-0.851005,-0.12505,0.001545,-0.040903
0.085,-3.236344,-2.499014,550.950869,-22.539948,-0.850488,-0.146789,0.001544,-0.040911
0.086,-3.14785,-2.589278,550.782529,-22.503174,-0.823736,-0.141799,0.001496,-0.040857
0.087,-3.23743,-2.678619,551.125796,-22.498491,-0.828102,-0.170495,0.001503,-0.040823
0.088,-3.237089,-2.589008,551.124292,-22.50279,-0.82777,-0.15859,0.001502,-0.040831
