Time,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z,,,,
0,150.909,-81.0089,1104.13,159.162,-49.4673,942.382,132.264,-45.945,437.528,129.426,-133.884,30.5166,96.6742,-175.119,-9.06426,165.408,-21.8089,-26.6712,122.468,70.5558,-22.9946,,,,
0.0083,150.884,-81.0738,1104.13,159.176,-49.4893,942.34,132.299,-45.6936,437.431,129.667,-133.858,30.5015,96.6477,-175.1,-9.0971,165.182,-21.5734,-26.8865,122.445,70.5958,-23.0439,,,,
0.0167,150.757,-81.1739,1104.09,159.27,-49.5828,942.383,132.248,-45.6476,437.507,129.466,-133.922,30.6028,96.6291,-175.103,-9.04179,165.355,-21.8887,-26.6753,122.381,70.586,-23.0142,,,,
0.025,150.736,-81.2442,1104.06,159.214,-49.7194,942.412,131.98,-45.5421,437.467,129.367,-133.937,30.5542,96.5413,-175.131,-9.08554,165.343,-21.9855,-26.4832,122.358,70.6202,-22.7527,,,,
0.0333,150.708,-81.2833,1104.03,159.161,-49.8058,942.454,131.872,-45.4487,437.303,129.361,-133.918,30.551,96.6303,-175.133,-9.02384,165.276,-21.9399,-26.639,122.323,70.523,-23.0535,,,,
0.0417,150.624,-81.3466,1103.99,159.616,-49.5397,942.477,132.064,-45.2018,437.454,129.362,-133.725,30.5225,96.5372,-175.084,-9.09507,165.342,-21.9298,-26.5202,122.468,70.4795,-22.8154,,,,
0.05,150.569,-81.3703,1103.96,159.594,-49.6244,942.52,131.752,-44.9229,437.266,129.334,-133.804,30.5311,96.5492,-175.094,-9.0155,165.267,-21.902,-26.5868,122.31,70.5198,-22.997,,,,
0.0583,150.522,-81.3621,1103.93,159.492,-49.638,942.537,131.897,-44.6138,437.21,129.271,-133.76,30.6523,96.5427,-175.111,-9.09287,165.265,-21.9336,-26.4539,122.421,70.5841,-22.7722,,,,
0.0667,150.482,-81.3451,1103.9,159.613,-49.5188,942.53,131.746,-44.4205,437.31,129.325,-133.735,30.6524,96.5307,-175.086,-9.05764,165.529,-21.6188,-26.3388,122.29,70.5508,-22.9432,,,,
0.075,150.506,-81.2376,1103.87,159.434,-49.5404,942.542,131.332,-44.3081,437.128,129.323,-133.809,30.6454,96.5015,-175.069,-9.04512,165.086,-21.9337,-26.6138,122.216,70.5306,-22.9875,,,,
0.0833,150.431,-81.2106,1103.85,159.599,-49.3634,942.529,131.502,-43.9951,437.205,129.183,-133.553,30.6163,96.4972,-175.105,-9.00483,164.954,-21.9803,-26.5995,122.215,70.4758,-23.011,,,,
0.0917,150.423,-81.0726,1103.83,159.522,-49.3235,942.565,131.305,-43.8027,437.084,129.199,-133.442,30.6034,96.4769,-175.099,-9.05675,165.165,-22.0181,-26.4317,122.481,70.5208,-22.8307,,,,
0.1,150.438,-80.9175,1103.78,159.576,-49.0836,942.58,131.319,-43.5101,437.077,129.184,-133.398,30.5679,96.5083,-175.145,-9.07248,165.038,-22.2097,-26.6625,122.395,70.4161,-23.0038,,,,
0.1083,150.311,-80.7835,1103.73,159.601,-48.9695,942.534,131.406,-43.1249,437.096,129.16,-133.332,30.5695,96.5565,-175.207,-9.12863,165.152,-22.0422,-26.4427,122.61,70.4184,-22.8894,,,,
0.1167,150.309,-80.6064,1103.72,159.194,-49.0027,942.503,131.246,-42.7363,436.983,129.137,-133.339,30.5536,96.5482,-175.189,-9.08512,164.936,-22.2106,-26.4781,122.589,70.4003,-23.0536,,,,
0.125,150.349,-80.3556,1103.66,159.267,-48.6371,942.408,131.202,-42.3319,436.91,129.133,-133.305,30.5628,96.5438,-175.206,-9.12172,165.073,-22.0889,-26.4754,122.65,70.3735,-22.8722,,,,
0.1333,150.342,-80.0798,1103.64,159.38,-48.3242,942.336,131.187,-41.9529,436.842,129.092,-133.349,30.5781,96.5468,-175.181,-9.13674,165.064,-22.1091,-26.6014,122.479,70.292,-23.1044,,,,
0.1417,150.34,-79.8141,1103.59,159.213,-48.1722,942.319,131.149,-41.4796,436.764,129.077,-133.23,30.5453,96.5792,-175.228,-9.13995,164.974,-22.0888,-26.58,122.57,70.2869,-23.0985,,,,
0.15,150.264,-79.5568,1103.56,159.221,-47.8767,942.282,131.15,-41.0056,436.758,129.368,-133.149,30.5839,96.5759,-175.224,-9.12911,164.88,-21.908,-26.7045,122.711,70.2639,-23.0611,,,,
0.1583,150.258,-79.2489,1103.52,159.04,-47.7319,942.23,131.013,-40.6875,436.681,129.089,-133.151,30.5797,96.5462,-175.251,-9.19735,165.102,-22.2257,-26.4088,122.913,70.2169,-22.8894,,,,
0.1667,150.323,-78.8174,1103.44,159.057,-47.3993,942.116,130.854,-40.2345,436.657,129.073,-133.18,30.5911,96.539,-175.305,-9.16988,164.842,-22.2746,-26.5628,122.779,70.1907,-23.0245,,,,
0.175,150.285,-78.5004,1103.39,158.938,-47.1134,942.032,130.941,-39.8485,436.566,129.18,-133.194,30.696,96.5808,-175.336,-9.24897,164.971,-22.3627,-26.4835,123.01,70.0697,-23.0101,,,,
0.1833,150.247,-78.0976,1103.35,158.606,-46.9007,941.867,130.801,-39.4352,436.388,129.05,-133.009,30.4867,96.5971,-175.364,-9.24331,164.954,-22.4202,-26.5604,122.941,69.993,-23.1689,,,,
0.1917,150.31,-77.6618,1103.29,158.765,-46.5689,941.9,130.737,-38.9388,436.352,129.108,-133.158,30.5228,96.5968,-175.425,-9.34774,164.968,-22.4438,-26.4757,123.047,70.0018,-23.0556,,,,
0.2,150.246,-77.343,1103.22,158.813,-46.205,941.826,130.939,-38.3849,436.347,129.106,-133.186,30.6632,96.6649,-175.512,-9.41265,164.839,-22.4647,-26.5748,123.01,69.9177,-23.1355,,,,
0.2083,150.311,-76.8646,1103.14,158.645,-45.9221,941.778,130.597,-37.9699,436.209,129.158,-133.266,30.5659,96.7092,-175.585,-9.44644,165.246,-22.2179,-26.307,123.02,69.8752,-23.1546,,,,
0.2167,150.294,-76.4829,1103.07,158.579,-45.6083,941.724,130.374,-37.4624,436.096,129.352,-133.471,30.731,96.6834,-175.594,-9.40853,164.775,-22.5816,-26.5855,122.952,69.872,-23.226,,,,
0.225,150.316,-76.0046,1102.99,158.384,-45.3346,941.651,130.335,-36.9939,436.021,129.083,-133.283,30.5754,96.7347,-175.636,-9.49132,164.772,-22.6304,-26.5264,123.038,69.908,-23.0826,,,,
0.2333,150.378,-75.4971,1102.86,158.298,-45.0122,941.598,130.259,-36.4763,435.939,129.055,-133.198,30.5594,96.6793,-175.59,-9.40186,164.725,-22.5613,-26.5682,122.94,69.8402,-23.2211,,,,
0.2417,150.354,-75.0521,1102.74,158.454,-44.4352,941.574,130.349,-35.9455,435.927,129.084,-133.118,30.6006,96.747,-175.643,-9.4654,164.799,-22.7243,-26.531,122.928,69.9475,-23.1031,,,,
0.25,150.286,-74.5819,1102.65,158.198,-44.1955,941.489,130.203,-35.4962,435.825,128.994,-133.124,30.536,96.6883,-175.618,-9.4198,164.744,-22.5042,-26.5172,122.927,69.8953,-23.235,,,,
