,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z,Time,
5.96667,149.51,-95.7747,1099.81,151.703,-88.1981,940.654,117.69,-62.598,434.767,101.039,-193.884,24.998,73.0275,-206.66,-6.89161,149.591,-54.1469,-24.1877,104.571,40.3975,-22.8353,0,
5.975,149.347,-94.7522,1099.76,151.602,-87.758,940.786,117.094,-62.7939,435.005,100.946,-193.818,25.2436,72.8057,-206.518,-6.62392,149.54,-54.0548,-24.145,104.447,40.5321,-22.8627,0.00833,
5.98333,149.246,-93.7518,1099.73,151.427,-87.3623,940.809,116.805,-62.4499,434.927,100.538,-193.968,25.4905,72.6729,-206.461,-6.46168,149.438,-53.9402,-24.0711,104.399,40.7429,-22.8649,0.01666,
5.99167,149.151,-92.7633,1099.69,151.217,-86.8744,940.865,116.278,-62.6113,435.136,100.744,-193.911,25.5545,72.1985,-206.272,-6.45757,149.442,-53.9149,-24.0807,104.297,40.7205,-22.9271,0.025,
6,149.067,-91.8317,1099.63,150.924,-86.3361,941.039,115.727,-62.8052,435.367,100.703,-193.824,25.8098,72.7868,-206.238,-5.98156,149.483,-53.8825,-24.0238,104.229,40.8913,-22.8313,0.03333,
6.00833,148.922,-90.9004,1099.58,150.857,-85.774,940.97,115.373,-62.8211,435.393,100.633,-193.978,25.8325,72.5008,-206.426,-5.99962,149.459,-53.8434,-24.0951,104.209,40.8036,-22.9207,0.04166,
6.01667,148.947,-89.8551,1099.51,150.655,-85.256,941.011,114.951,-62.9995,435.524,100.607,-193.749,25.7586,72.3729,-206.384,-5.86128,149.392,-53.8406,-24.0423,104.211,40.8633,-22.8779,0.05,
6.025,148.68,-88.8942,1099.51,150.436,-84.8626,941.126,114.769,-62.9618,435.636,100.61,-194.011,26.0243,72.3526,-206.335,-5.77182,149.346,-53.8483,-24.1082,104.146,40.7667,-22.9414,0.05833,
6.03333,148.615,-87.9009,1099.44,150.296,-84.1565,941.225,115.023,-62.6336,435.524,100.821,-194.19,25.9717,72.3394,-206.41,-5.73254,149.366,-53.8219,-24.083,104.086,40.8033,-22.9632,0.06666,
6.04167,148.503,-86.7444,1099.41,149.975,-83.8041,941.306,114.587,-62.7428,435.759,100.659,-194.047,26.1495,72.3811,-206.328,-5.55801,149.337,-53.8419,-24.079,104.068,40.8453,-22.927,0.075,
6.05,148.292,-85.7798,1099.36,149.787,-83.1824,941.312,114.597,-62.557,435.74,100.84,-194.175,26.3184,72.3663,-206.374,-5.55938,149.335,-53.8422,-24.0148,104.093,40.9654,-22.8314,0.08333,
6.05833,148.191,-84.5934,1099.21,149.925,-82.2597,941.284,114.701,-62.2838,435.713,100.681,-193.991,26.1909,72.4568,-206.308,-5.48524,149.333,-53.8118,-24.0864,104.081,40.8559,-22.8729,0.09166,
6.06667,147.997,-83.4552,1099.11,149.267,-82.4904,941.322,114.478,-62.2853,435.772,100.716,-193.931,26.1942,72.4115,-206.28,-5.48929,149.423,-53.8023,-24.0659,104.097,40.9368,-22.8358,0.1,
6.075,147.818,-82.4481,1098.94,149.047,-82.1617,941.218,114.723,-61.866,435.649,100.723,-193.95,26.1797,72.4661,-206.282,-5.43517,149.396,-53.8303,-24.1404,104.051,40.7423,-22.9033,0.10833,
6.08333,147.585,-81.3306,1098.71,149.019,-81.815,941.107,114.35,-61.9201,435.646,100.728,-193.954,26.1905,72.5085,-206.311,-5.49167,149.42,-53.8352,-24.0694,104.114,40.845,-22.851,0.11666,
6.09167,147.422,-80.3522,1098.53,148.884,-81.6542,941.017,114.435,-61.6305,435.642,100.764,-193.976,26.2313,72.503,-206.327,-5.52243,149.418,-53.8003,-24.1331,104.129,40.7762,-22.8944,0.125,
6.1,147.227,-79.4845,1098.21,148.402,-82.0228,940.944,114.444,-61.314,435.522,100.758,-193.996,26.1936,72.5524,-206.322,-5.56272,149.357,-53.8279,-24.1313,104.121,40.7324,-22.8604,0.13333,
6.10833,147.134,-78.7099,1097.84,147.959,-82.435,940.806,114.529,-60.8866,435.516,100.732,-194.011,26.1937,72.557,-206.29,-5.54591,149.381,-53.8333,-24.1344,104.113,40.7683,-22.8487,0.14166,
6.11667,147.006,-78.0556,1097.39,147.523,-82.7435,940.784,114.451,-60.4569,435.378,100.782,-193.947,26.208,72.5693,-206.294,-5.57452,149.42,-53.8256,-24.1052,104.096,40.8608,-22.834,0.15,
6.125,146.909,-77.5025,1096.91,147.298,-83.0255,940.743,114.4,-59.9136,435.27,100.366,-193.96,26.3398,72.5284,-206.214,-5.50222,149.479,-53.808,-24.1576,104.101,40.8,-22.8921,0.15833,
6.13333,146.832,-77.0269,1096.41,147.154,-83.6338,940.673,114.267,-59.7314,435.315,100.701,-193.775,26.271,72.1791,-206.081,-5.75995,149.399,-53.7773,-24.0993,104.138,40.9886,-22.8411,0.16666,
6.14167,146.766,-76.8005,1095.89,146.515,-84.779,940.623,114.217,-59.4144,435.231,100.697,-193.567,26.324,72.7689,-205.945,-5.32961,149.375,-53.7852,-24.1353,104.088,40.9571,-22.8997,0.175,
6.15,146.671,-76.6012,1095.24,146.199,-85.6398,940.587,114.017,-59.337,435.254,100.633,-193.66,26.2598,72.4934,-206.213,-5.58561,149.388,-53.7267,-24.1031,104.117,41.0746,-22.8091,0.18333,
6.15833,146.645,-76.301,1094.56,146.102,-86.5373,940.603,113.936,-59.4203,435.397,100.638,-193.389,26.1648,72.3625,-206.174,-5.54192,149.396,-53.7292,-24.1513,104.146,40.9794,-22.8844,0.19166,0.2
6.16667,146.575,-76.0685,1093.81,145.255,-88.2999,940.576,113.678,-59.6027,435.375,100.644,-193.43,26.2721,72.3775,-206.1,-5.5778,149.436,-53.7804,-24.2115,104.176,40.9634,-22.9001,0.2,
6.175,146.524,-75.7633,1092.98,145.192,-89.399,940.485,113.946,-59.6994,435.476,100.899,-193.446,26.2332,72.4308,-206.156,-5.61386,149.417,-53.7751,-24.2701,104.248,40.9898,-22.9189,0.20833,
6.18333,146.627,-75.4747,1092.09,144.543,-91.0587,940.409,113.895,-60.0007,435.498,100.746,-193.208,26.245,72.5097,-206.1,-5.72121,149.46,-53.8478,-24.3506,104.397,40.9883,-22.8888,0.21666,
6.19167,146.65,-75.1588,1091.06,144.031,-92.6629,940.314,114.11,-60.0944,435.623,100.934,-193.278,26.3398,72.5541,-206.239,-5.70738,149.494,-53.9865,-24.5157,104.53,40.8199,-22.9986,0.225,
6.2,146.765,-74.8335,1089.94,143.489,-94.3179,940.087,114.096,-60.0988,435.621,100.835,-193.089,26.1807,72.6515,-206.175,-5.95754,149.462,-54.0585,-24.5759,104.737,40.7975,-22.9627,0.23333,
6.20833,146.899,-74.4876,1088.66,142.539,-96.4531,939.786,114.1,-59.8885,435.465,100.845,-193.031,26.0835,72.673,-206.139,-5.97238,149.52,-54.2226,-24.6959,104.93,40.5586,-23.003,0.24166,
6.21667,147.047,-74.1457,1087.16,141.731,-98.5596,939.383,114.191,-59.3429,435.332,100.881,-193.031,26.0817,72.7919,-206.235,-6.13111,149.466,-54.4311,-24.7319,105.143,40.3944,-22.9307,0.25,
6.225,147.174,-73.7157,1085.52,141.215,-100.674,938.776,114.056,-58.6857,435.304,100.82,-192.934,26.1374,72.777,-206.183,-6.18321,149.293,-54.6463,-24.8055,105.387,40.1903,-23.0818,0.25833,
6.23333,147.261,-73.277,1083.68,140.271,-103.293,937.995,113.811,-57.775,435.046,100.702,-192.839,26.1146,72.7125,-206.157,-6.26057,149.135,-54.79,-24.804,105.516,40.1272,-23.0885,0.26666,
6.24167,147.364,-72.7487,1081.56,139.634,-105.86,937.01,114.127,-56.4243,434.879,100.478,-192.752,26.1604,72.5919,-206.12,-6.30319,148.964,-54.9515,-24.7256,105.591,40.0293,-23.0592,0.275,
6.25,147.322,-72.2393,1079.16,138.843,-108.659,935.718,114.035,-55.2098,434.431,100.264,-192.879,26.0882,72.5878,-206.257,-6.52504,148.75,-55.2187,-24.5855,105.789,39.9383,-22.8909,0.28333,
6.25833,147.344,-71.7621,1076.44,138.016,-111.831,934.254,114.027,-53.8796,434.059,100.216,-193.027,26.1877,72.4835,-206.321,-6.59609,148.548,-55.5769,-24.5579,106.074,39.5134,-22.9811,0.29166,
6.26667,147.407,-71.3063,1073.46,138.033,-113.826,932.357,113.998,-52.3136,433.617,99.5794,-193.322,26.4202,72.4306,-206.544,-6.7749,148.349,-56.0178,-24.2949,106.413,39.2344,-22.882,0.3,
6.275,147.498,-70.8463,1070.08,137.654,-116.808,930.422,113.851,-50.5348,433.021,99.7806,-193.476,26.3618,72.0084,-206.617,-7.05868,148.01,-56.3429,-24.0525,106.666,38.7615,-22.9329,0.30833,
6.28333,147.99,-69.9762,1066.51,137.244,-119.899,928.122,113.902,-48.2428,432.444,99.5394,-193.606,26.5405,72.5273,-206.892,-6.87474,147.602,-56.6258,-23.645,106.608,38.5787,-22.8459,0.31666,
6.29167,147.521,-70.1048,1062.07,136.843,-123.147,925.265,114.357,-45.5569,431.823,99.209,-193.996,26.6614,72.2141,-207.441,-7.18063,147.237,-56.8039,-23.2655,106.602,38.2652,-22.8785,0.325,
6.3,147.058,-70.3142,1057.76,136.472,-126.172,922.204,114.5,-42.7625,431.157,98.8225,-193.884,26.5802,71.9378,-207.643,-7.19702,146.748,-57.033,-22.8379,106.554,37.9951,-22.6247,0.33333,
6.30833,147.42,-69.2367,1052.3,136.047,-129.09,918.723,115.031,-39.4251,430.403,98.47,-194.151,26.8863,71.8205,-207.749,-7.22551,146.296,-57.1944,-22.3379,106.317,37.9121,-22.1893,0.34166,
6.31667,147.473,-68.56,1046.8,135.68,-131.813,914.85,115.289,-36.0289,429.52,98.3504,-194.237,26.7923,71.5954,-207.903,-7.27272,145.898,-57.3423,-21.714,105.989,37.8709,-21.7933,0.35,
6.325,147.556,-67.7789,1040.77,135.548,-134.321,910.687,115.764,-32.468,428.481,97.7095,-193.808,26.9257,71.3799,-207.787,-7.15905,145.435,-57.4093,-21.3693,105.739,37.7947,-21.584,0.35833,
6.33333,147.659,-66.948,1034.17,135.061,-137.05,906.132,116.221,-28.8333,427.491,97.3714,-193.629,27.1304,71.1722,-208.003,-7.10976,144.941,-57.2419,-20.7728,105.426,37.8249,-20.8546,0.36666,
6.34167,147.759,-66.1002,1027.1,134.777,-139.262,901.442,116.371,-25.1899,426.294,96.8059,-193.303,26.8468,71.0068,-207.907,-7.2419,144.481,-57.1811,-20.1899,104.822,37.8916,-20.2641,0.375,
6.35,148,-65.6524,1019.44,134.763,-141.184,896.152,116.557,-21.5722,424.956,96.432,-193.201,26.6434,70.8964,-208.164,-7.45958,144.152,-57.2164,-19.6715,104.297,37.8948,-19.3049,0.38333,
6.35833,147.989,-64.429,1011.77,134.863,-143.142,890.526,116.297,-18.1444,423.657,96.0369,-193.424,26.553,70.8114,-208.611,-7.63816,143.555,-57.3308,-19.0138,103.832,37.5338,-17.6017,0.39166,
6.36667,147.896,-63.538,1003.5,135.068,-144.779,884.712,117,-14.3221,422.041,95.4708,-193.824,26.529,70.5521,-209.092,-7.76982,143.134,-57.741,-17.6399,103.214,37.1191,-15.3844,0.4,
6.375,148.109,-62.7825,995.142,135.369,-146.524,878.667,117.372,-10.3918,420.519,94.7917,-194.164,26.6713,70.148,-209.425,-7.80696,142.707,-58.2906,-16.2017,102.838,36.6095,-13.5469,0.40833,
6.38333,148.085,-62.6726,986.298,135.824,-147.885,872.383,117.246,-6.44875,418.832,94.0718,-194.233,26.6775,69.7003,-209.76,-7.82132,142.344,-58.8106,-15.1979,102.863,36.2911,-12.0577,0.41666,
6.39167,148.095,-62.423,977.503,136.441,-149.603,865.65,116.857,-2.40386,416.905,93.3555,-194.064,26.6471,69.1979,-209.862,-7.71481,142.205,-59.3299,-14.6914,103.085,35.8499,-11.3405,0.425,
6.4,148.195,-62.413,968.654,136.724,-150.087,859.458,116.547,2.26569,415.184,92.6973,-193.656,26.6873,68.6883,-209.903,-7.62981,141.928,-59.683,-14.3758,103.233,35.7447,-10.8655,0.43333,
6.40833,147.969,-62.3358,959.464,137.107,-150.621,852.9,116.312,7.25174,413.081,91.5793,-193.252,26.825,68.2402,-209.714,-7.40492,141.489,-59.732,-14.4118,102.877,35.7463,-10.8584,0.44166,
6.41667,147.938,-62.4905,950.601,137.738,-150.937,846.041,116.015,12.6972,410.79,91.6029,-192.384,26.5946,67.7401,-209.489,-7.37435,140.506,-59.2442,-14.7321,101.599,36.0718,-10.8557,0.45,
6.425,147.815,-62.5019,941.917,138.192,-151.059,839.469,114.929,18.431,408.732,91.3296,-191.376,26.5979,68.0905,-209.219,-6.84833,139.192,-58.5713,-15.4337,99.707,36.4503,-11.5051,0.45833,
6.43333,148.044,-62.0837,933.574,138.893,-150.588,832.387,115.235,24.1377,405.894,91.0987,-190.571,26.316,67.845,-209.061,-6.78384,137.945,-57.8539,-16.3895,97.5187,36.9695,-12.4729,0.46666,
6.44167,148.1,-61.7328,925.4,139.23,-149.881,825.339,115.224,30.1871,403.352,90.8937,-188.922,25.8039,67.6528,-208.557,-6.33764,136.757,-56.9549,-17.8804,95.744,37.5333,-14.1415,0.475,
6.45,148.617,-60.72,917.104,139.85,-148.677,818.806,115.535,36.9105,400.275,90.8699,-187.786,25.6436,67.7228,-207.982,-6.00409,136.11,-56.2105,-19.2692,94.6284,38.2036,-16.0897,0.48333,
6.45833,149.079,-59.5646,909.055,140.127,-147.313,812.035,116.215,43.7337,397.226,91.1695,-186.758,25.2735,67.6051,-207.402,-5.48357,136.656,-55.7762,-20.1563,94.7852,38.5107,-18.5207,0.49166,
6.46667,149.565,-57.9779,901.164,140.719,-144.711,805.57,117.113,50.5809,394.125,90.7001,-185.45,25.3763,67.3923,-206.796,-4.96888,138.374,-55.4417,-20.6654,96.3872,38.8902,-20.631,0.5,
6.475,149.832,-56.3201,893.366,140.028,-143.369,797.996,119.122,57.7207,390.501,90.7186,-184.71,25.6096,67.1597,-206.313,-4.24766,140.317,-55.0591,-21.0937,97.764,39.4497,-22.0464,0.50833,
6.48333,150.395,-54.3648,885.814,139.844,-141.462,791.333,120.462,64.5033,386.978,90.1025,-183.75,25.4943,66.8695,-205.792,-3.89296,140.775,-54.565,-21.3779,97.4702,40.3077,-21.9923,0.51666,
6.49167,150.972,-52.1898,878.35,140.623,-138.595,784.272,121.115,70.6217,383.458,89.6151,-183.102,25.4359,66.372,-205.525,-3.44986,140.411,-54.1422,-21.6184,97.3491,40.7974,-22.0681,0.525,
6.5,151.151,-50.3392,871.304,141.3,-135.968,777.558,121.992,76.424,379.013,89.2933,-182.635,25.375,65.9734,-205.294,-3.01874,140.639,-53.9667,-21.9877,97.5375,41.2109,-22.3017,0.53333,
6.50833,151.26,-47.742,864.493,141.675,-133.725,771.143,123.821,82.2502,375.123,89.0981,-182.139,25.3186,65.7411,-205.096,-2.56479,140.839,-53.7475,-22.267,97.6608,41.6737,-22.3851,0.54166,
6.51667,151.633,-44.9162,858.332,142.136,-131.011,764.807,125.951,88.1353,370.875,89.0819,-181.673,25.1745,65.6951,-205.007,-2.20317,141.029,-53.4462,-22.3723,97.7054,41.9304,-22.3579,0.55,
6.525,151.888,-42.1185,852.736,143.037,-128.432,759.403,126.574,93.5759,367.077,89.1145,-181.209,25.0855,65.7136,-204.88,-1.76328,141.354,-53.2467,-22.6831,97.7048,41.9475,-22.5708,0.55833,
6.53333,152.079,-39.3407,847.583,144.45,-125.843,754.555,125.882,98.799,363.543,88.9394,-180.749,25.0568,65.6065,-204.823,-1.37031,141.482,-53.2031,-22.7284,97.7891,42.2823,-22.6322,0.56666,
6.54167,152.512,-36.6427,843.274,145.636,-122.91,750.439,127.222,104.695,359.178,88.6801,-180.214,25.1243,65.2669,-204.681,-0.746489,141.521,-53.1647,-22.8968,97.9245,42.3955,-22.8285,0.575,
6.55,152.547,-34.6042,839.428,146.536,-120.043,746.903,127.166,109.898,355.497,87.6424,-179.921,25.5589,64.7634,-204.597,-0.154912,141.502,-53.2542,-22.8568,98.071,42.5932,-22.9138,0.58333,
6.55833,152.901,-31.6913,836.66,147.902,-116.747,743.593,127.506,115.421,351.366,87.8252,-179.318,25.7558,63.875,-204.473,0.627637,141.272,-53.578,-22.9623,98.2817,42.6407,-23.1798,0.59166,
6.56667,153.806,-29.2998,835.117,148.274,-113.201,740.603,128.152,121.196,347.407,87.5795,-178.65,26.4561,63.6363,-204.232,2.19005,141.06,-53.8415,-22.9409,98.5443,42.5183,-23.3508,0.6,
6.575,154.785,-26.8488,834.374,149.793,-109.281,737.814,128.65,125.634,343.459,87.063,-178.916,27.046,62.7475,-204.319,2.95502,140.677,-54.7296,-22.9467,98.8866,41.9947,-23.4385,0.60833,
6.58333,155.876,-24.0285,834.55,151.098,-105.182,735.851,129.867,130.046,339.482,86.6063,-178.111,27.149,61.9074,-204.159,4.26322,140.267,-55.0024,-22.7433,99.1723,41.9963,-23.3962,0.61666,
6.59167,156.747,-20.8718,835.573,151.546,-100.997,734.253,129.061,134.196,336.46,86.151,-177.945,28.326,61.3548,-203.708,5.76693,139.976,-55.2309,-22.8925,99.3597,42.0089,-23.6102,0.625,
6.6,157.314,-17.3256,837.343,152.646,-96.6393,733.64,127.884,137.968,334.457,85.9682,-177.539,29.4219,60.4157,-203.224,7.20376,139.511,-55.4232,-22.8558,99.4573,42.1089,-23.6107,0.63333,
6.60833,157.215,-13.5859,839.273,153.709,-92.2223,733.839,126.947,141.509,333.129,84.9542,-176.365,30.8303,59.9923,-202.658,9.14943,139.179,-55.5933,-22.9371,99.5836,42.1586,-23.738,0.64166,
6.61667,157.028,-9.61244,842.277,154.535,-87.5202,735.204,126.199,144.555,332.429,84.6153,-175.548,32.3572,59.427,-202.124,10.9853,138.671,-55.706,-22.8455,99.6573,42.217,-23.7366,0.65,
6.625,157.158,-4.91816,846.824,155.563,-82.4236,738.046,125.863,147.021,332.435,84.255,-174.589,33.7604,59.0637,-201.477,12.939,138.419,-55.7247,-22.8038,99.7677,42.1447,-23.8125,0.65833,
6.63333,157.469,0.37998,853.145,156.19,-76.9825,742.515,125.8,148.823,333.097,84.3268,-173.784,35.2757,59.041,-200.913,14.7401,138.336,-55.6044,-22.6017,99.8255,42.1973,-23.915,0.66666,
6.64167,158.059,6.18505,861.124,156.432,-71.1786,748.619,126.478,149.858,334.58,84.7032,-173.032,36.7138,59.1256,-200.234,16.6141,138.403,-55.4408,-22.4452,99.814,42.1557,-23.9304,0.675,
6.65,159.021,12.3978,870.69,156.797,-64.4519,756.82,127.264,149.955,336.561,85.349,-172.449,37.9557,59.4549,-199.713,18.0783,138.632,-55.2245,-22.3693,99.9186,42.2128,-23.8072,0.68333,
6.65833,160.302,19.2048,882.205,157.096,-57.6196,766.221,128.717,148.975,339.184,85.9077,-171.92,38.9451,59.9314,-199.303,19.4718,138.964,-55.1205,-22.5042,99.9536,42.1525,-23.8951,0.69166,
6.66667,161.662,26.1698,895.237,158.416,-50.1861,776.26,130.78,146.983,342.536,86.4477,-171.45,39.8022,60.2409,-198.879,20.6511,139.398,-54.9777,-22.6585,99.9354,42.1759,-23.8356,0.7,
6.675,162.679,33.1282,908.968,159.115,-43.1001,787.609,133.525,144.029,346.556,87.2393,-171.125,40.6243,60.5394,-198.476,21.8937,139.85,-54.999,-22.9519,100.038,42.0873,-23.9313,0.70833,
6.68333,164.345,40.5911,923.977,160.161,-35.5133,800.159,136.425,140.048,351.596,87.7995,-170.997,41.5838,60.78,-197.986,23.2396,140.041,-55.0384,-23.0963,100.06,42.0368,-23.847,0.71666,
6.69167,165.887,48.9563,940.801,161.784,-27.0137,813.396,139.899,135.239,357.551,87.5663,-171.039,43.3143,61.0496,-197.296,24.8815,140.422,-55.1462,-23.3181,100.1,41.905,-23.8975,0.725,
6.7,167.56,58.0019,959.378,163.75,-18.3829,827.914,144.075,129.52,364.419,89.6786,-170.503,44.6964,61.2533,-196.489,26.8553,140.833,-55.0712,-23.5867,100.125,41.8419,-23.8546,0.73333,
6.70833,169.737,67.7712,980.1,165.526,-8.86816,843.542,147.983,122.807,372.594,91.4733,-169.85,47.0263,62.7576,-195.163,29.9301,141.374,-54.8308,-23.8454,100.131,41.7386,-23.7932,0.74166,
6.71667,172.655,78.1829,1002.61,168.511,2.17509,859.911,152.341,115.249,381.571,93.6027,-169.639,49.6544,63.5755,-194.14,33.142,142.131,-54.5585,-24.1066,100.122,41.6058,-23.6366,0.75,
6.725,174.659,87.9904,1026.69,171.457,14.2139,877.651,156.968,106.794,391.992,96.4276,-168.547,53.1278,64.9719,-192.439,38.2612,142.747,-54.4277,-24.4244,100.212,41.2629,-23.6328,0.75833,
6.73333,177.365,98.0707,1052.31,173.686,27.2601,896.369,160.856,97.9282,404.202,99.8704,-167.513,58.314,67.6172,-189.422,44.5803,143.432,-54.2202,-24.5973,100.292,40.9391,-23.4675,0.76666,
6.74167,179.851,108.668,1079.35,175.812,41.5677,916.423,165.28,88.846,418.026,105.144,-166.218,64.8936,70.8238,-185.197,53.2665,144.078,-53.8757,-24.726,100.548,40.4212,-23.3964,0.775,
6.75,182.625,118.331,1106.12,177.818,57.0969,938.083,169.662,79.8701,434.579,110.325,-162.892,75.0178,75.3908,-179.144,64.2812,144.509,-53.5666,-24.8693,101.069,39.6541,-23.1876,0.78333,
6.75833,185.755,127.972,1132.29,179.837,73.6191,961.357,172.299,71.4669,454.952,119.259,-158.586,86.9231,81.7059,-170.799,78.4364,145.026,-53.5281,-25.0254,102.101,38.1894,-23.0937,0.79166,
6.76667,188.942,138.333,1157.31,181.439,89.8016,985.565,172.631,64.2263,478.811,130.14,-150.064,100.651,90.2399,-160.907,95.735,145.766,-54.5853,-24.4634,103.445,35.6058,-23.3192,0.8,
6.775,190.624,148.139,1181.97,184.755,105.666,1009.95,170.068,58.7931,505.08,140.802,-126.1605,119.402,100.471,-150.277,115.075,147.857,-52.9975,-20.3437,106.869,38.7385,-26.0224,0.80833,
6.78333,192.909,158.047,1206.18,187.773,120.641,1034.63,166.552,57.1092,531.423,151.464,-102.257,138.153,110.435,-140.643,136.779,155.853,-44.2311,-5.88572,111.101,42.7022,-30.1649,0.81666,
6.79167,195.321,167.684,1228.84,188.923,132.275,1058.03,166.404,63.8615,555.805,157.149,-88.3248,172.368,114.311,-134.938,158.851,165.63,-35.0417,22.8532,119.4185,42.53205,-9.7964,0.825,
6.8,197.289,176.148,1250.88,187.886,141.293,1082.14,166.04,74.9705,557.908,155.396,-90.4955,196.543,112.028,-134.063,181.95,177.377,-33.4643,56.1934,127.736,42.3619,10.5721,0.83333,
6.80833,199.815,184.348,1271.53,187.909,150.352,1104.96,167.591,93.1078,576.787,152.866,-91.8379,221.242,108.844,-132.885,208.133,170.815,-41.2683,57.897,138.984,35.62,32.2823,0.84166,
6.81667,200.055,190.986,1291.61,186.147,155.532,1127.1,169.474,113.13,594.407,149.698,-91.1294,248.749,106.493,-132.687,237.122,157.16,-59.2396,112.046,142.187,23.7656,53.9741,0.85,
6.825,201.212,196.182,1310.48,183.426,158.897,1148.82,171.846,133.992,611.042,147.838,-90.4331,278.473,106.514,-133.334,268.341,175.211,-63.3015,135.235,134.202,20.1055,62.5192,0.85833,
6.83333,203.072,199.974,1327.61,182.312,161.191,1168.49,174.159,156.234,626.844,147.347,-88.5395,310.209,107.627,-132.759,302.344,173.034,-62.379,169.525,135.986,16.3988,108.53,0.86666,
6.84167,205.108,201.817,1343.28,184.166,161.338,1186.79,175.845,179.156,642.952,148.42,-84.8719,343.875,108.751,-130.681,338.977,166.325,-61.2176,202.553,114.892,-0.0449419,142.711,0.875,
