Time,,Gxp,Gyp,,Hxp,Hyp,,Kxp,Kyp,,Axp,Ayp,,Bxp,Byp,,Mxp,Myp,,Txp,Typ
35.15,117.5,-71.0477,1110.44,127.732,-41.6971,942.47,105.829,-49.238,435.251,111.871,-151.669,33.1993,77.7015,-193.622,-6.40845,157.63,-39.0381,-25.2742,111.83,54.5238,-23.0109
35.1583,116.71,-71.1442,1110.49,127.013,-41.9472,942.51,105.324,-49.3366,435.296,111.768,-151.657,33.2305,77.6305,-193.561,-6.34026,157.714,-39.109,-25.3037,111.849,54.5047,-23.1131
35.1667,115.727,-71.3205,1110.55,126.073,-42.1183,942.495,104.793,-49.4941,435.414,111.741,-151.652,33.3151,77.6675,-193.616,-6.30301,157.594,-39.0247,-25.2995,111.826,54.5618,-23.0378
35.175,114.826,-71.4957,1110.59,125.239,-42.2731,942.542,104.18,-49.7622,435.427,111.631,-151.627,33.2981,77.4967,-193.593,-6.36405,157.57,-39.0446,-25.3465,111.833,54.4565,-23.1326
35.1833,113.917,-71.6867,1110.61,124.421,-42.5326,942.536,103.802,-50.0668,435.49,111.604,-151.684,33.3061,77.5213,-193.552,-6.36882,157.521,-39.0702,-25.2568,111.801,54.5487,-23.026
35.1917,112.909,-71.9238,1110.66,123.449,-42.8164,942.594,103.497,-50.3855,435.634,111.588,-151.712,33.381,77.5129,-193.59,-6.36935,157.553,-39.0865,-25.3088,111.831,54.4642,-23.0331
35.2,112.02,-72.1117,1110.68,122.668,-43.009,942.665,103.071,-50.7283,435.687,111.571,-151.723,33.3516,77.5322,-193.579,-6.37996,157.569,-39.1,-25.2881,111.817,54.4739,-23.072
35.2083,110.978,-72.3854,1110.73,121.765,-43.4115,942.766,102.683,-51.0539,435.802,111.57,-151.747,33.4408,77.519,-193.538,-6.31034,157.542,-39.1042,-25.2746,111.839,54.4866,-23.0794
35.2167,110.006,-72.6476,1110.8,120.756,-43.8324,942.79,102.021,-51.4607,435.824,111.496,-151.758,33.4201,77.5136,-193.611,-6.36959,157.527,-39.0536,-25.2164,111.851,54.5225,-22.9856
35.225,109.03,-72.9017,1110.88,120.04,-44.138,942.995,101.668,-51.7617,435.919,111.453,-151.8,33.4901,77.4888,-193.458,-6.35487,157.521,-39.0953,-25.261,111.852,54.4335,-23.0786
35.2333,107.934,-73.1758,1110.96,119.474,-44.4649,943.006,101.428,-51.8659,436.068,111.402,-151.813,33.5779,77.4887,-193.588,-6.29365,157.488,-39.103,-25.2594,111.868,54.5025,-22.9806
35.2417,106.963,-73.4567,1111,118.399,-45.1471,943.277,100.994,-52.0317,436.105,111.378,-151.834,33.611,77.4722,-193.555,-6.1903,157.49,-39.1087,-25.2988,111.935,54.4269,-23.0127
35.25,105.884,-73.6977,1111.11,117.474,-45.7997,943.398,100.555,-52.0044,436.149,111.352,-151.823,33.718,77.514,-193.6,-6.1419,157.513,-39.1361,-25.2792,111.774,54.4782,-23.0086
35.2583,104.673,-74.1024,1111.21,116.709,-46.4658,943.601,100.211,-51.7696,436.327,111.361,-151.795,33.9551,77.5456,-193.613,-5.99629,157.522,-39.1035,-25.3251,111.794,54.4232,-23.068
35.2667,103.676,-74.42,1111.32,115.948,-47.2545,943.751,99.6569,-51.3276,436.355,111.349,-151.784,34.1269,77.5274,-193.531,-5.82188,157.554,-39.0354,-25.3338,111.944,54.4611,-23.1377
35.275,102.449,-74.9103,1111.43,115.252,-48.0653,943.906,99.271,-50.6036,436.461,111.304,-151.675,34.3838,77.5737,-193.488,-5.5728,157.538,-39.0338,-25.3234,111.814,54.4088,-23.1139
35.2833,101.376,-75.3981,1111.55,114.456,-48.8883,944.195,98.4982,-49.8096,436.391,111.269,-151.597,34.6111,77.5995,-193.478,-5.36972,157.451,-39.0072,-25.2665,111.808,54.5623,-22.9701
35.2917,100.307,-75.9457,1111.7,113.874,-49.9341,944.316,97.9918,-48.5786,436.443,111.175,-151.462,34.9179,77.5692,-193.368,-5.02223,157.488,-38.9737,-25.3474,111.776,54.522,-23.0547
35.3,99.119,-76.6554,1111.81,113.216,-51.1364,944.607,97.4816,-47.0657,436.533,111.008,-151.274,35.3605,77.5502,-193.284,-4.63843,157.381,-38.9194,-25.3113,111.741,54.6232,-22.9881
35.3083,97.9914,-77.4082,1111.95,112.505,-52.1991,944.697,96.7621,-45.4743,436.514,110.9,-151.068,35.8149,77.585,-193.159,-4.03148,157.346,-38.9024,-25.3078,111.697,54.5285,-23.061
35.3167,96.9615,-78.2217,1112.07,111.741,-53.5562,944.936,96.0238,-43.423,436.537,110.779,-150.818,36.4179,77.496,-193.143,-3.51137,157.194,-38.8892,-25.2383,111.645,54.5852,-22.9623
