,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,time,Fz
18,-2.976707,7.854255,546.619671,31.593591,7.73656,0.239426,-0.014153,0.057798,0,546.619671
18.001,-2.976538,7.854416,546.447127,31.560636,7.759586,0.239417,-0.0142,0.057756,0.001,546.447127
18.002,-2.976398,7.854076,546.617978,31.527832,7.828769,0.239602,-0.014322,0.057678,0.002,546.617978
18.003,-2.976229,7.854238,546.445434,31.494877,7.851794,0.239594,-0.014369,0.057636,0.003,546.445434
18.004,-3.153058,7.854092,546.614856,31.462526,7.912527,0.239739,-0.014476,0.057559,0.004,546.614856
18.005,-3.064245,7.765785,546.613493,31.532096,7.962963,0.235109,-0.014568,0.057686,0.005,546.613493
18.006,-3.152684,7.675972,546.614442,31.47089,8.004446,0.240086,-0.014644,0.057574,0.006,546.614442
18.007,-3.152578,7.765362,546.612315,31.466496,8.050854,0.252088,-0.014729,0.057566,0.007,546.612315
18.008,-3.152544,7.675632,546.785293,31.438085,8.073629,0.240271,-0.014766,0.057496,0.008,546.785293
18.009,-3.153251,7.585895,547.129434,31.376809,8.119529,0.228497,-0.01484,0.057348,0.009,547.129434
18.01,-3.152707,7.585937,547.128365,31.311144,8.165662,0.228577,-0.014925,0.057228,0.01,547.128365
18.011,-3.152942,7.585717,547.127741,31.311049,8.211738,0.228673,-0.015009,0.057228,0.011,547.127741
18.012,-2.976,7.58502,547.472564,31.310745,8.266346,0.228906,-0.015099,0.057191,0.012,547.472564
18.013,-2.976027,7.584518,547.815959,31.310895,8.312503,0.229099,-0.015174,0.057156,0.013,547.815959
18.014,-2.976158,7.584614,548.15922,31.245414,8.312659,0.229134,-0.015165,0.057001,0.014,548.15922
18.015,-3.064555,7.495005,547.986371,31.282684,8.377221,0.200537,-0.015287,0.057087,0.015,547.986371
18.016,-2.975851,7.494448,548.159789,31.249679,8.404461,0.217467,-0.015332,0.057008,0.016,548.159789
18.017,-3.064373,7.58421,548.671524,31.213054,8.423866,0.212671,-0.015353,0.056888,0.017,548.671524
18.018,-2.887335,7.496062,548.671969,31.216699,8.432434,0.224725,-0.015369,0.056895,0.018,548.671969
18.019,-3.065625,7.494431,549.016733,31.217442,8.423633,0.200816,-0.015343,0.056861,0.019,549.016733
