,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
2.588,-100.997887,-182.32324,3188.607263,-386.97101,97.452437,6.910325,-0.030563,-0.121361,0
2.589,-39.15872,-446.103753,2760.612231,-340.256592,71.019123,23.875251,-0.025726,-0.123254,0.001
2.59,-1.1671,-401.561664,2274.431713,-275.569744,34.154778,34.822489,-0.015017,-0.12116,0.002
2.591,28.120585,-318.144262,1891.182893,-228.937098,9.313981,34.197378,-0.004925,-0.121055,0.003
2.592,51.039171,-429.818565,1667.380405,-193.597903,-7.003516,34.270437,0.0042,-0.116109,0.004
2.593,56.755876,-432.530871,1514.68948,-175.793442,-16.078631,38.79928,0.010615,-0.116059,0.005
2.594,61.120363,-322.937786,1451.666221,-163.156842,-19.516606,36.970566,0.013444,-0.112393,0.006
2.595,71.374899,-388.349039,1402.667906,-155.423809,-21.535107,37.646127,0.015353,-0.110806,0.007
2.596,67.571018,-456.73312,1359.923456,-148.609951,-22.395655,41.499921,0.016468,-0.109278,0.008
2.597,58.629481,-335.429913,1323.98152,-141.88462,-23.246587,37.884969,0.017558,-0.107165,0.009
2.598,64.530619,-296.645466,1280.150026,-137.023019,-24.578127,37.092149,0.019199,-0.107037,0.01
2.599,67.703739,-363.117062,1244.847428,-129.286071,-25.730888,38.79493,0.02067,-0.103857,0.011
2.6,56.990103,-252.383827,1197.844076,-123.751131,-27.055557,31.819573,0.022587,-0.103312,0.012
2.601,54.496664,-122.213346,1161.625481,-115.62575,-28.880028,28.382994,0.024862,-0.099538,0.013
2.602,55.667527,-173.786855,1124.34256,-109.665546,-29.080324,28.63598,0.025864,-0.097537,0.014
2.603,40.39048,-155.814169,1085.968644,-102.125329,-30.375827,22.007964,0.027971,-0.094041,0.015
2.604,30.052461,-14.526702,1051.860387,-96.183958,-30.87547,19.526082,0.029353,-0.091442,0.016
2.605,33.744893,-20.399132,1015.381126,-88.747913,-32.082631,19.676746,0.031597,-0.087404,0.017
2.606,27.399209,-70.853332,982.915456,-83.543126,-33.135026,14.018893,0.033711,-0.084995,0.018
2.607,13.200897,29.63096,945.625866,-77.276758,-34.573879,12.759579,0.036562,-0.08172,0.019
2.608,16.437707,73.748176,911.072332,-72.794828,-36.205521,13.322539,0.039739,-0.0799,0.02
2.609,21.907893,-7.149506,877.427402,-68.155147,-37.461944,8.745928,0.042695,-0.077676,0.021
2.61,11.78378,26.789782,846.169513,-64.401797,-38.769083,9.140904,0.045817,-0.07611,0.022
2.611,11.97449,107.12403,821.117159,-60.965616,-39.903193,10.023355,0.048596,-0.074247,0.023
2.612,23.662016,47.428904,803.459854,-58.160828,-40.441835,6.0418,0.050335,-0.072388,0.024
2.613,17.878787,20.216018,780.979117,-55.464777,-41.3256,7.303284,0.052915,-0.07102,0.025
2.614,12.15513,106.324038,761.174718,-52.972389,-42.065599,8.087392,0.055264,-0.069593,0.026
2.615,25.327389,95.980731,745.813725,-51.192392,-42.524364,4.269218,0.057017,-0.06864,0.027
2.616,27.540346,28.377743,731.754642,-49.626514,-42.834909,6.42189,0.058537,-0.067819,0.028
2.617,17.797741,82.893737,717.986909,-48.022394,-43.129437,7.213887,0.06007,-0.066885,0.029
2.618,26.791836,123.319058,708.992838,-46.922499,-43.316369,3.261729,0.061096,-0.066182,0.03
2.619,35.368509,53.39717,701.1872,-45.852872,-43.185465,5.701976,0.061589,-0.065393,0.031
2.62,23.883985,58.82917,689.058849,-44.775611,-43.270677,6.244926,0.062797,-0.064981,0.032
2.621,22.921565,126.95689,680.7627,-43.941837,-43.372683,2.167652,0.063712,-0.064548,0.033
2.622,33.574086,86.675461,673.423832,-43.196236,-43.134204,4.62715,0.064052,-0.064144,0.034
2.623,25.567464,46.747301,664.689936,-42.506901,-43.078274,4.960335,0.06481,-0.06395,0.035
2.624,16.552086,110.270634,658.047747,-42.025198,-43.061256,1.065288,0.065438,-0.063863,0.036
2.625,25.669785,113.657217,652.657932,-41.436797,-42.802474,3.576325,0.065582,-0.063489,0.037
2.626,24.885922,50.818596,646.101609,-40.993961,-42.472433,3.809629,0.065736,-0.063448,0.038
2.627,11.231651,82.134654,638.117217,-40.489328,-42.295529,0.338448,0.066282,-0.063451,0.039
2.628,14.208741,122.717236,632.586068,-40.069422,-42.013177,2.939812,0.066415,-0.063342,0.04
2.629,20.685857,66.786952,628.486996,-39.707549,-41.5141,2.983817,0.066054,-0.06318,0.041
2.63,8.833495,57.277685,622.509539,-39.346275,-41.17767,0.072508,0.066148,-0.063206,0.042
2.631,4.579078,113.404831,617.215683,-38.921193,-40.945904,2.781299,0.06634,-0.063059,0.043
2.632,14.635384,87.021104,612.732718,-38.585757,-40.384123,2.427091,0.065908,-0.062973,0.044
2.633,8.401744,44.493429,606.542427,-38.32069,-39.90601,-0.027328,0.065793,-0.063179,0.045
2.634,-2.499686,90.064431,599.330416,-37.741614,-39.658303,2.80674,0.066171,-0.062973,0.046
2.635,6.45575,101.045019,596.288405,-37.559625,-39.132158,2.022715,0.065626,-0.062989,0.047
2.636,8.785225,47.768876,592.268541,-37.202893,-38.53223,-0.121292,0.065059,-0.062814,0.048
2.637,-4.099756,65.296158,586.992102,-36.90021,-38.154664,2.835086,0.065,-0.062863,0.049
2.638,-1.209811,103.705079,582.793552,-36.488087,-37.705683,1.558911,0.064698,-0.062609,0.05
2.639,7.416418,62.672302,578.461998,-36.268836,-37.022162,-0.325107,0.064001,-0.062699,0.051
2.64,-3.301422,47.180199,572.597395,-35.72351,-36.622913,2.715676,0.063959,-0.062389,0.052
2.641,-7.387656,93.494066,568.479868,-35.501034,-36.199343,1.040371,0.063677,-0.062449,0.053
2.642,4.1034,80.416086,566.177689,-35.233222,-35.532426,-0.621672,0.062758,-0.06223,0.054
2.643,0.166805,42.550589,561.969338,-34.926831,-34.947925,2.474393,0.062188,-0.062151,0.055
2.644,-10.128659,75.644085,557.479999,-34.652605,-34.559191,0.544451,0.061992,-0.062159,0.056
2.645,-1.694164,92.306562,553.708978,-34.27549,-34.051932,-0.924905,0.061498,-0.061902,0.057
2.646,1.705798,50.170916,549.235304,-34.048652,-33.399097,2.143475,0.06081,-0.061993,0.058
2.647,-10.126238,57.438507,544.270064,-33.696854,-32.996381,0.031591,0.060625,-0.061912,0.059
2.648,-7.946811,93.458188,541.43101,-33.432084,-32.489373,-1.226506,0.060006,-0.061748,0.06
2.649,1.130916,65.603382,538.007549,-32.975578,-31.82687,1.74095,0.059157,-0.061292,0.061
2.65,-7.462752,46.949138,533.81868,-32.849525,-31.343693,-0.429482,0.058716,-0.061537,0.062
2.651,-13.065643,83.868771,529.36549,-32.445198,-30.953312,-1.401633,0.058472,-0.061291,0.063
2.652,-3.247875,79.975138,525.033836,-32.040363,-30.346013,1.388447,0.057798,-0.061025,0.064
2.653,-5.049608,45.870054,520.594389,-31.85706,-29.785885,-0.880027,0.057215,-0.061194,0.065
2.654,-15.27177,68.420676,516.652254,-31.517882,-29.376435,-1.441119,0.056859,-0.061004,0.066
2.655,-8.785632,87.338632,513.266163,-31.131438,-28.857742,1.116873,0.056224,-0.060654,0.067
2.656,-3.599149,53.933783,509.57547,-30.933137,-28.193986,-1.215548,0.055328,-0.060704,0.068
2.657,-14.293629,53.413165,504.655627,-30.685371,-27.785009,-1.401167,0.055057,-0.060805,0.069
2.658,-14.514305,83.875173,499.977689,-30.334795,-27.367633,0.942437,0.054738,-0.060672,0.07
2.659,-4.976135,64.754646,496.636203,-30.100609,-26.803546,-1.50841,0.05397,-0.060609,0.071
2.66,-11.362403,44.441048,492.835498,-29.913964,-26.300748,-1.273653,0.053366,-0.060698,0.072
2.661,-17.956549,71.801079,489.306242,-29.562347,-25.937516,0.809601,0.053009,-0.060417,0.073
2.662,-8.036822,73.093965,486.431257,-29.473325,-25.356157,-1.768303,0.052127,-0.060591,0.074
2.663,-8.422092,43.190604,481.856948,-29.211942,-24.876567,-1.162668,0.051626,-0.060624,0.075
2.664,-19.014602,55.731022,477.12175,-28.968901,-24.559916,0.717302,0.051475,-0.060716,0.076
2.665,-13.585258,73.891557,474.166738,-28.812095,-24.128921,-2.003333,0.050887,-0.060764,0.077
2.666,-7.77349,48.332793,470.841584,-28.74009,-23.555125,-1.171234,0.050028,-0.06104,0.078
2.667,-17.860467,42.322907,467.008352,-28.505981,-23.256904,0.573319,0.0498,-0.06104,0.079
2.668,-18.524844,67.056645,464.498548,-28.479422,-22.856383,-2.2262,0.049207,-0.061312,0.08
2.669,-9.954143,55.431981,461.340819,-28.254156,-22.342567,-1.190892,0.04843,-0.061244,0.081
2.67,-16.078918,35.03726,456.886761,-28.137046,-21.963776,0.373009,0.048073,-0.061584,0.082
2.671,-22.50066,54.363876,453.479706,-28.13563,-21.682794,-2.429309,0.047814,-0.062044,0.083
2.672,-14.705011,59.60532,451.311301,-27.984458,-21.279186,-1.204882,0.04715,-0.062007,0.084
2.673,-14.644456,34.940369,448.46486,-27.909124,-20.817308,0.098788,0.046419,-0.062233,0.085
2.674,-23.649744,41.135194,445.752654,-27.93633,-20.580921,-2.631378,0.046171,-0.062672,0.086
2.675,-19.995523,58.36529,443.00536,-27.784727,-20.20042,-1.237078,0.045599,-0.062719,0.087
2.676,-14.885185,39.549893,439.673856,-27.702544,-19.791927,-0.207577,0.045015,-0.063007,0.088
2.677,-22.493392,30.74731,436.319106,-27.747125,-19.504282,-2.777764,0.044702,-0.063594,0.089
2.678,-24.409545,50.822809,433.865799,-27.584703,-19.248402,-1.277911,0.044365,-0.063579,0.09
2.679,-16.540145,44.96127,432.068465,-27.627844,-18.855409,-0.536258,0.04364,-0.063943,0.091
2.68,-19.828402,26.569509,429.806627,-27.689875,-18.509306,-2.968071,0.043064,-0.064424,0.092
2.681,-26.354057,40.083717,427.1601,-27.633036,-18.318819,-1.258784,0.042885,-0.06469,0.093
2.682,-19.971752,47.000927,424.630785,-27.553496,-17.984376,-0.829699,0.042353,-0.064888,0.094
2.683,-17.776719,27.274702,422.078779,-27.633322,-17.607889,-3.06578,0.041717,-0.06547,0.095
2.684,-25.642514,29.077371,419.273708,-27.64321,-17.378112,-1.227421,0.041448,-0.065931,0.096
2.685,-23.231513,43.983268,417.890831,-27.568236,-17.109835,-1.084093,0.040943,-0.06597,0.097
2.686,-16.782907,31.088609,416.22156,-27.6871,-16.775603,-3.186915,0.040305,-0.06652,0.098
2.687,-22.896343,21.617753,413.807416,-27.628743,-16.520033,-1.147205,0.039922,-0.066767,0.099
2.688,-25.437548,36.437679,411.518633,-27.634397,-16.281964,-1.256565,0.039566,-0.067152,0.1
2.689,-17.824277,34.282452,409.49343,-27.740023,-15.926505,-3.211971,0.038893,-0.067742,0.101
2.69,-19.700198,18.685947,406.78876,-27.666427,-15.705095,-1.007646,0.038607,-0.068012,0.102
2.691,-25.345395,26.851176,404.998158,-27.774352,-15.507333,-1.358263,0.03829,-0.068579,0.103
2.692,-19.3122,34.463439,403.623282,-27.813353,-15.16963,-3.14677,0.037584,-0.068909,0.104
2.693,-16.67513,19.749964,401.816851,-27.826116,-14.846592,-0.834049,0.036949,-0.069251,0.105
2.694,-23.217727,17.973099,399.3536,-27.854942,-14.61107,-1.327677,0.036587,-0.06975,0.106
2.695,-21.071868,30.383121,397.767329,-27.88209,-14.3845,-2.937335,0.036163,-0.070096,0.107
2.696,-15.152993,22.056873,395.461495,-27.844871,-14.059431,-0.577644,0.035552,-0.070411,0.108
