,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,Time
540,-0.001121,-0.094031,0.699922,1.898342,556.096361,-52.290535,0.62359,0.545152,0
541,-0.001412,-0.0877527,0.39610102,3.18441772,555.0332688,-48.7057695,0.78368024,0.62677104,0.00834
542,-0.00155972,-0.08158601,0.15270356,5.35671193,553.225287,-45.13560625,0.8630022,0.63844561,0.01667
543,-0.002123,-0.075461,0.233194,6.992983,552.222257,-41.671207,1.172137,0.632978,0.025
544,-0.00303034,-0.06944088,0.43384542,8.54321068,551.6695382,-38.30843652,1.67185774,0.58386876,0.03334
545,-0.00389317,-0.06388593,0.98795754,10.00267117,550.0898288,-35.14296676,2.14148054,0.46505405,0.04167
546,-0.004633,-0.058989,1.454309,10.755313,547.650501,-32.305496,2.537227,0.420475,0.05
547,-0.00525028,-0.05459618,1.74468978,11.2156057,545.4377548,-29.77902576,2.86367374,0.42524404,0.05834
548,-0.00555884,-0.05081198,2.2111431,11.35256842,543.6235402,-27.62280375,3.0217486,0.40002382,0.06667
549,-0.005579,-0.047751,2.588579,11.167687,541.69454,-25.866687,3.022182,0.395187,0.075
550,-0.00552546,-0.0448511,2.82030528,11.24775056,540.2203577,-24.2294019,2.9850272,0.32615858,0.08334
551,-0.00566676,-0.04260336,2.99230023,11.59663032,538.8570435,-22.95695112,3.05356679,0.27688642,0.09167
552,-0.005697,-0.040748,3.021245,12.567704,537.433036,-21.899203,3.062019,0.239975,0.1
553,-0.00604692,-0.03914614,2.72631042,13.50934866,535.657824,-20.96879892,3.239117,0.13597554,0.10834
554,-0.00655626,-0.03789928,1.90471003,14.21485165,533.6454906,-20.22459058,3.4985535,0.01460667,0.11667
555,-0.007114,-0.037327,0.730657,14.685814,531.22583,-19.828839,3.779146,-0.114788,0.125
556,-0.00742158,-0.03675228,-0.18144874,15.18545442,529.0971915,-19.44557124,3.92661924,-0.23993096,0.13334
557,-0.00714032,-0.03667069,-0.79977776,15.54354619,527.4323395,-19.34140914,3.76611513,-0.24617244,0.14167
558,-0.006558,-0.03668,-0.769882,15.666017,526.574156,-19.314902,3.453385,-0.179439,0.15
559,-0.00587742,-0.037085,-0.7116715,15.93630636,525.3163332,-19.48142524,3.08738566,-0.10461308,0.15834
560,-0.00516181,-0.03752286,-0.85900794,16.35703397,524.1138426,-19.66626003,2.70561413,0.00304098,0.16667
561,-0.004631,-0.038063,-1.123686,17.720563,523.825922,-19.93822,2.425749,0.101286,0.175
562,-0.00459434,-0.03852188,-1.56128068,20.32839486,524.1562941,-20.1913443,2.40807086,0.08278388,0.18334
563,-0.00464349,-0.03868866,-1.9972969,23.93796093,523.1667748,-20.24056841,2.42921431,0.00604042,0.19167
564,-0.004818,-0.038981,-2.431802,27.042931,521.034099,-20.310302,2.510525,-0.082438,0.2
565,-0.00496638,-0.03971134,-2.748632,29.53111386,518.2688416,-20.5810062,2.57389322,-0.1638488,0.20834
566,-0.00529068,-0.04089924,-2.94648646,31.33942764,513.8995249,-21.01812159,2.71889358,-0.26974722,0.21667
567,-0.005323,-0.042578,-3.114965,32.468832,509.30472,-21.68516,2.711006,-0.340496,0.225
568,-0.00541904,-0.04495618,-2.9296804,32.06170774,501.5000479,-22.54541108,2.71755454,-0.40004434,0.23334
569,-0.00515323,-0.04852021,-2.65438658,30.09580605,490.3751278,-23.79298094,2.52706614,-0.39940934,0.24167
570,-0.004698,-0.053422,-2.910652,26.920155,478.677564,-25.571987,2.248609,-0.460441,0.25
571,-0.00412294,-0.05903516,-3.05441738,22.76366406,469.7777223,-27.73329444,1.93672726,-0.5245862,0.25834
572,-0.00287496,-0.06551767,-3.28875734,18.52772514,462.8300902,-30.32354404,1.3307515,-0.59421305,0.26667
573,-0.000717,-0.072461,-3.349537,14.029159,454.228559,-32.913949,0.325779,-0.619522,0.275
574,0.00196924,-0.0794047,-3.38286188,9.46696378,443.154103,-35.18801896,-0.87262526,-0.66740604,0.28334
575,0.00458492,-0.08688493,-3.37946805,7.39337117,430.4861061,-37.402362,-1.97352903,-0.85646585,0.29167
576,0.006879,-0.0949,-2.457947,6.116603,417.074849,-39.580424,-2.868961,-1.000629,0.3
577,0.00858696,-0.10284632,-1.50396708,2.67503874,401.9888731,-41.34265406,-3.45175068,-1.05978512,0.30834
578,0.00991226,-0.11061859,-0.40198867,-2.27400754,384.875303,-42.57388864,-3.81482587,-0.91891328,0.31667
579,0.011013,-0.117282,1.025891,-7.225393,364.849223,-42.790375,-4.018111,-0.668159,0.325
580,0.0121415,-0.1231084,2.84035668,-11.35469234,342.4021316,-42.15217838,-4.15719486,-0.2134034,0.33334
581,0.01411581,-0.12841369,5.26640733,-14.53228633,320.1664777,-41.11345889,-4.5191275,0.32240853,0.34167
582,0.016462,-0.133371,7.334657,-18.451783,297.583459,-39.688863,-4.898961,0.763372,0.35
583,0.0188786,-0.1384508,9.84240908,-24.92314682,278.6571587,-38.5799952,-5.26045368,1.16635626,0.35834
584,0.02075536,-0.14270957,12.63857605,-29.14204139,268.7362245,-38.35121014,-5.57776179,1.59617323,0.36667
585,0.022388,-0.145615,14.129825,-34.665552,267.102299,-38.894104,-5.979956,1.733395,0.375
586,0.0247494,-0.14779394,14.72447296,-38.65328342,279.4922021,-41.30719274,-6.9174108,1.66040186,0.38334
587,0.02667397,-0.14947144,13.87101905,-40.89017073,297.7373374,-44.50318515,-7.94180653,1.30229795,0.39167
