Time,,Gxp,Gyp,,Hxp,Hyp,,Kxp,Kyp,,Axp,Ayp,,Bxp,Byp,,Mxp,Myp,,Txp,Typ,Time
40.4,95.3737,459.955,1554.12,106.29,359.938,1445.74,62.922,670.553,1118.73,89.4756,448.72,764.652,70.3994,395.247,725.45,125.196,556.814,703.9,73.8444,644.253,701.184,0
40.4083,96.0979,459.318,1562.46,105.522,362.443,1453.54,63.6171,669.18,1120.73,88.9285,448.644,765.049,69.9326,395.369,725.878,124.877,556.61,704.129,73.4951,644.284,701.216,0.0083
40.4167,96.706,458.472,1570.87,105.472,364.778,1460.72,65.048,667.263,1122.25,88.5914,448.285,765.002,69.6869,395.168,725.928,124.63,556.004,703.85,73.4355,643.458,701.383,0.0167
40.425,97.4323,458.298,1579.5,104.478,366.849,1468.14,66.8739,664.636,1123.27,88.6876,447.501,765.02,69.6943,394.593,725.86,124.779,555.31,703.329,73.4587,642.955,701.193,0.025
40.4333,98.5718,459.217,1587.95,103.777,368.742,1474.78,68.9571,661.719,1123.73,89.0515,446.279,764.64,69.9639,393.981,725.271,125.425,554.367,702.966,73.7729,641.94,701.147,0.0333
40.4417,99.2679,460.858,1595.69,104.336,370.258,1481.67,71.117,658.334,1123.92,89.8652,445.38,763.525,70.6836,393.013,724.673,126.046,553.553,702.466,74.2411,641.394,700.833,0.0417
40.45,99.9108,463.224,1602.92,104.74,371.73,1488.11,73.1511,654.609,1124.1,90.937,444.239,762.459,71.535,392.084,723.926,126.859,552.516,702.082,74.3153,639.958,700.935,0.05
40.4583,100.449,465.521,1609.89,105.145,373.074,1494.31,75.0407,650.955,1124.37,91.9529,442.819,761.813,72.3929,390.926,723.181,127.651,551.724,701.5,74.7186,639.185,700.523,0.0583
40.4667,100.589,467.718,1616.96,105.608,374.507,1500.66,76.9676,647.582,1124.72,92.7757,441.554,761.198,73.0017,389.892,722.387,128.205,550.761,701.158,74.9631,638.315,700.479,0.0667
40.475,100.084,470.354,1624.05,106.162,375.909,1506.85,78.7484,644.227,1125.19,93.3168,440.203,760.806,73.3601,388.846,721.843,128.109,549.8,701.255,74.9011,637.292,700.578,0.075
40.4833,99.0952,472.927,1631.04,106.645,377.351,1513.22,80.4389,640.875,1126.09,93.7072,439.259,760.474,73.3282,388.256,721.276,128.286,549.072,701.099,74.9682,636.143,700.885,0.0833
40.4917,98.0756,475.328,1637.81,107.372,379.099,1519.64,82.1906,637.675,1127.35,93.8491,438.8,760.166,73.2579,387.97,721.109,128.26,548.892,700.729,74.8961,636.176,700.687,0.0917
40.5,97.3812,477.425,1644.91,107.688,380.378,1525.78,83.9089,634.635,1128.95,93.7837,438.707,760.104,72.9656,388.003,720.994,128.274,548.902,700.727,74.8217,636.091,700.798,0.1
40.5083,96.976,479.29,1652.12,107.752,381.783,1532.49,85.4289,631.948,1130.78,94.027,438.814,760.351,72.7654,388.104,721.286,128.266,549.242,700.769,74.9059,637.044,700.502,0.1083
40.5167,97.0718,480.643,1659.33,107.818,384.055,1538.97,86.7873,629.325,1132.75,94.248,438.887,760.859,72.7189,388.369,721.576,128.397,549.416,700.909,74.9415,636.79,700.754,0.1167
40.525,97.2299,481.749,1666.83,107.548,386.48,1545.59,88.0757,626.592,1134.79,94.7814,439.061,761.501,72.8824,388.671,721.87,128.624,549.873,700.896,75.0693,637.434,700.649,0.125
40.5333,97.4528,482.374,1674.14,107.075,389.069,1552.37,89.3912,624.101,1136.96,95.3113,439.193,761.879,73.1535,388.989,722.114,128.944,550.218,700.922,75.2056,637.638,700.711,0.1333
40.5417,98.0421,482.763,1681.75,106.711,391.648,1559.05,90.6406,621.602,1138.95,95.9872,439.215,762.287,73.4188,389.17,722.383,129.362,550.611,700.909,75.3514,637.865,700.729,0.1417
40.55,98.4079,483.258,1689.29,106.252,394.276,1565.72,91.7427,619.192,1140.74,96.5266,439.163,762.573,73.6361,389.357,722.367,129.664,550.759,700.913,75.4065,637.695,700.876,0.15
40.5583,98.676,483.775,1696.64,106.342,397.15,1571.98,92.8022,616.82,1142.25,96.8355,438.889,762.561,73.7391,389.28,722.431,130.045,551.074,700.755,75.335,638.067,700.558,0.1583
40.5667,99.0212,484.695,1704.05,105.672,400.254,1578.36,94.0377,614.132,1143.44,97.0306,438.5,762.565,73.667,389.147,722.264,129.749,550.844,700.84,75.3911,637.69,700.795,0.1667
40.575,99.4087,486.027,1711.08,104.934,403.588,1584.45,95.2089,611.46,1144.42,97.1223,437.94,762.437,73.5828,388.777,722.193,129.541,550.663,700.763,75.4109,637.498,700.713,0.175
40.5833,99.2581,487,1718.05,104.943,407.066,1590.39,96.2443,608.634,1145.31,97.258,437.277,762.252,73.5592,388.46,721.933,129.836,550.088,700.87,75.5446,636.922,700.889,0.1833
40.5917,98.9957,488.519,1724.57,104.616,410.612,1595.87,97.3448,606.043,1145.9,97.5524,436.592,762.103,73.5091,388.203,721.683,129.962,549.81,700.816,75.4391,636.9,700.628,0.1917
40.6,98.3984,490.081,1730.7,104.544,414.108,1601.09,97.9929,603.63,1146.43,97.9935,436.294,761.811,73.7668,388.082,721.42,130.149,549.741,700.72,75.3519,636.864,700.537,0.2
40.6083,97.8245,492.049,1736.68,104.593,417.398,1605.74,98.6629,601.348,1146.98,98.4303,436.139,761.544,73.9817,387.989,721.245,130.342,549.833,700.625,75.4388,636.927,700.545,0.2083
40.6167,97.0761,494.251,1742.43,104.806,420.73,1609.9,99.1058,599.239,1147.6,98.9112,436.166,761.28,74.3492,388.089,720.961,130.729,549.939,700.718,75.7239,636.635,700.876,0.2167
40.625,96.3772,496.753,1747.96,104.78,424.031,1613.71,99.3793,597.1,1148.33,99.3312,436.223,761.182,74.6984,388.044,720.935,131.012,550.2,700.674,75.9004,637.123,700.695,0.225
40.6333,95.7922,499.434,1753.42,104.9,427.75,1617.38,99.6057,595.156,1149.24,99.7429,436.148,761.192,74.9956,388.215,720.816,131.297,550.189,700.737,75.9704,636.772,701.008,0.2333
40.6417,95.3506,501.748,1758.65,104.92,431.625,1621.08,99.916,593.55,1150.07,99.9272,436.175,761.203,75.0808,388.11,720.929,131.346,550.424,700.691,75.9334,637.083,700.856,0.2417
40.65,94.8372,504.349,1763.54,104.764,435.639,1624.57,100.209,592.345,1150.69,99.9521,436.041,761.266,74.9992,388.096,720.97,131.18,550.177,700.79,75.8189,636.68,701.071,0.25
40.6583,94.6733,506.758,1768.31,104.452,439.581,1627.78,100.328,591.019,1151.25,99.862,435.735,761.375,74.907,387.948,721.002,131.218,550.218,700.711,75.7595,636.884,700.841,0.2583
40.6667,94.426,509.119,1772.92,104.263,443.807,1630.97,100.243,589.658,1151.71,99.8796,435.496,761.401,74.7647,387.86,720.917,131.159,549.983,700.702,75.7422,636.801,700.843,0.2667
40.675,94.4854,511.481,1777.39,104.044,447.907,1633.72,100.219,588.382,1152.21,99.8396,434.931,761.43,74.7375,387.584,720.835,131.092,549.793,700.691,75.7476,636.341,700.937,0.275
40.6833,94.6676,513.476,1781.67,103.898,452.092,1636.59,99.8611,586.796,1152.6,99.9841,434.542,761.361,74.8457,387.49,720.57,131.073,549.42,700.698,75.7246,635.834,701.169,0.2833
40.6917,94.7396,515.182,1785.71,103.639,456.483,1639.37,99.3998,585.248,1152.87,100.216,434.207,761.268,74.9763,387.36,720.387,131.149,549.459,700.553,75.7487,636.054,700.897,0.2917
40.7,94.8187,516.883,1789.62,103.489,460.649,1641.93,98.9007,583.93,1153.08,100.443,433.843,761.082,75.1721,387.314,720.021,131.353,549.357,700.544,75.888,635.909,701.031,0.3
40.7083,94.9983,518.655,1793.31,103.403,465.004,1644.53,98.2516,582.693,1153.23,100.671,433.788,760.816,75.4352,387.124,719.724,131.519,549.576,700.389,76.0568,636.201,700.807,0.3083
40.7167,94.9699,520.477,1796.68,103.211,469.156,1646.65,97.5471,581.508,1153.36,100.837,433.573,760.664,75.728,387.063,719.382,131.667,549.339,700.47,75.9905,635.744,701.104,0.3167
40.725,94.8892,522.355,1800.05,103.209,472.935,1648.8,96.92,580.486,1153.53,100.931,433.355,760.663,75.8469,386.952,719.243,131.608,549.425,700.474,76.2847,635.954,700.947,0.325
40.7333,94.7101,524.402,1802.96,103.317,477.137,1651.03,96.151,579.584,1153.68,100.959,433.217,760.654,75.776,386.912,719.249,131.541,549.305,700.49,76.0651,635.786,701.024,0.3333
40.7417,94.6014,526.593,1805.63,103.067,481.264,1653.09,95.1134,578.857,1153.99,100.801,433.074,760.932,75.7452,386.799,719.419,131.444,549.25,700.547,75.876,635.634,701.161,0.3417
40.75,94.3879,528.718,1808.01,102.702,485.431,1655.16,94.1505,578.43,1154.28,100.681,433.1,761.034,75.6433,386.891,719.34,131.442,549.175,700.674,75.8218,635.292,701.476,0.35
40.7583,94.1249,530.842,1810.26,102.567,489.529,1656.69,93.305,578.211,1154.5,100.532,433.083,761.118,75.4861,386.847,719.434,131.269,549.303,700.647,75.8133,635.98,700.984,0.3583
40.7667,94.1357,533.12,1812.53,102.239,492.97,1657.97,92.629,578.246,1154.6,100.354,433.128,761.203,75.4272,386.927,719.295,131.275,549.221,700.719,75.6004,635.606,701.304,0.3667
40.775,94.1743,535.272,1814.7,102.427,496.81,1659.3,92.0197,578.391,1154.51,100.311,433.203,761.06,75.3186,386.828,719.339,131.17,549.31,700.722,75.6383,635.91,701.12,0.375
40.7833,94.3206,537.113,1816.66,102.448,500.444,1660.43,91.4589,578.488,1154.38,100.14,433.16,760.962,75.339,386.781,719.156,131.114,549.118,700.802,75.6127,635.536,701.493,0.3833
40.7917,94.6542,539.007,1818.63,102.401,503.966,1661.33,90.9076,578.417,1154.23,100.155,432.997,760.953,75.2846,386.717,719.039,130.973,549.157,700.704,75.5448,635.692,701.192,0.3917
40.8,94.9764,540.692,1820.24,102.509,507.65,1662.2,90.3532,578.295,1154.21,100.2,432.989,760.781,75.2812,386.579,719.013,131.081,549.121,700.606,75.566,635.776,701.009,0.4
40.8083,95.4027,542.379,1821.77,102.456,511.042,1662.66,89.9746,578.133,1154.18,100.412,432.967,760.711,75.4098,386.387,719.005,131.111,548.953,700.508,75.6338,635.875,700.908,0.4083
40.8167,95.7452,544.004,1823.04,102.447,514.697,1663.09,89.4308,578.03,1154.07,100.466,432.94,760.403,75.5714,386.38,718.816,131.227,548.741,700.5,75.5171,635.158,701.219,0.4167
40.825,96.0947,545.537,1824.02,102.64,517.978,1663.4,88.9796,578.096,1153.8,100.462,433.009,760.294,75.6898,386.295,718.774,131.18,548.863,700.277,75.5339,635.492,700.963,0.425
40.8333,96.4302,547.09,1824.97,102.772,521.002,1663.33,88.4997,578.278,1153.52,100.636,432.981,760.23,75.7511,386.409,718.61,131.254,548.851,700.338,75.4832,635.145,701.091,0.4333
40.8417,96.6599,548.523,1825.61,103.083,524.034,1663.38,87.9876,578.507,1153.3,100.678,433.073,760.064,75.9275,386.325,718.62,131.351,549.193,700.213,75.5506,635.646,700.832,0.4417
40.85,96.8303,549.862,1826.12,103.277,527.02,1663.48,87.5901,578.812,1153.18,100.713,433.308,760.03,75.9483,386.38,718.505,131.342,549.131,700.271,75.3726,635.409,700.978,0.45
40.8583,97.0322,551.326,1826.55,103.294,529.735,1663.34,87.2721,579.129,1153.11,100.699,433.289,760.062,75.9514,386.372,718.504,131.078,549.211,700.214,75.5963,636.093,700.663,0.4583
40.8667,97.0606,552.648,1826.79,103.629,532.375,1663.4,86.944,579.649,1152.96,100.674,433.41,760.018,75.9618,386.371,718.508,131.076,549.224,700.244,75.6211,636.061,700.61,0.4667
40.875,97.238,554.09,1827.1,103.899,534.779,1663.26,86.7573,580.214,1152.72,100.701,433.362,760.1,75.9432,386.323,718.677,130.991,549.167,700.287,75.4144,635.864,700.733,0.475
40.8833,97.2656,555.285,1827.22,104.138,537.193,1663.31,86.4085,580.799,1152.57,100.672,433.456,760.158,75.8824,386.485,718.714,131.144,549.125,700.29,75.0318,635.246,700.927,0.4833
40.8917,97.4628,556.388,1827.24,104.456,539.604,1663.44,86.0706,581.393,1152.39,100.649,433.517,760.259,75.8994,386.378,718.861,130.869,549.245,700.133,75.3282,635.843,700.65,0.4917
40.9,97.6312,557.349,1827.34,104.749,541.916,1663.45,85.964,582.02,1152.22,100.608,433.532,760.365,75.8424,386.527,718.895,131.032,549.269,700.181,75.0751,635.67,700.675,0.5
40.9083,97.7903,558.217,1827.44,104.97,544.254,1663.74,85.6591,582.588,1152.11,100.48,433.752,760.435,75.8104,386.557,719.057,130.865,549.471,700.122,75.2365,636.214,700.428,0.5083
40.9167,97.9662,558.912,1827.51,105.166,546.576,1663.97,85.6204,583.232,1151.95,100.541,433.91,760.437,75.72,386.772,719.071,131.025,549.56,700.207,75.0419,636.065,700.501,0.5167
40.925,98.1116,559.648,1827.75,105.179,548.469,1663.96,85.6563,583.941,1151.79,100.441,434.061,760.531,75.706,386.887,719.219,130.969,549.786,700.095,75.0677,636.45,700.226,0.525
40.9333,98.275,560.35,1827.91,105.464,550.371,1664.1,85.7398,584.526,1151.67,100.51,434.221,760.669,75.6622,387.038,719.449,130.929,549.799,700.057,75.0681,636.566,700.204,0.5333
